"subject_id","group","wave","fcOrder","item","forecast","form","resolution_31May2024","unit","diff","diff_standardized","diff_standardized_to_reg"
"LT2PWfa1d0t3mjn0w4KZ","reg",2,"fcBA","M7949",12,"C",12.116,"million km2",0.116,-0.719623756021592,NA
"AMdGiZCShW6RizBlKSmC","reg",2,"fcAE","C1039",23,"B",4.23,"percent",18.77,0.761601017213083,NA
"AMdGiZCShW6RizBlKSmC","reg",2,"fcAE","G2063",12000,"B",8986,"count",3014,-0.00966524199687201,NA
"rLd0lHpGVa2JlPcDPHoK","reg",2,"fcAE","C1039",9,"B",4.23,"percent",4.77,-0.536612487187683,NA
"rLd0lHpGVa2JlPcDPHoK","reg",2,"fcAE","G2063",9000,"B",8986,"count",14,-1.64543649185389,NA
"tQpvMJzeFXX0gCrC6vyK","reg",2,"fcCB","G1920",3.55e+08,"D",550347492,"USD",195347492,-0.661688611667891,NA
"tQpvMJzeFXX0gCrC6vyK","reg",2,"fcCB","G2006",40,"D",38.6,"percent",1.4,-0.384641626195037,NA
"rhddayHF97oSYI7UrdRt","reg",2,"fcED","G1472",4.03,"A",2.6,"percent",1.43,4.30883810962684,NA
"rhddayHF97oSYI7UrdRt","reg",2,"fcED","G1948",2444352,"A",2126085,"count",318267,-0.761751398784886,NA
"tpeAVPcZPp4su9E70bYx","reg",2,"fcBA","C47",163,"C",104,"count",59,0.18292741182095,NA
"tpeAVPcZPp4su9E70bYx","reg",2,"fcBA","M7949",12.66,"C",12.116,"million km2",0.544,-0.45007389113148,NA
"YORDk6DFygvOTEfH2xnP","reg",2,"fcED","G1472",3.5,"A",2.6,"percent",0.9,2.3829890851119,NA
"YORDk6DFygvOTEfH2xnP","reg",2,"fcED","G1948",4,"A",2126085,"count",2126081,4.00271764928724,NA
"vSxwOckngCvrG4n3EbUf","reg",2,"fcBA","C47",75,"C",104,"count",29,-0.692285636115493,NA
"vSxwOckngCvrG4n3EbUf","reg",2,"fcBA","M7949",12.35,"C",12.116,"million km2",0.234,-0.645308606355627,NA
"v8OOr4HHwaTU8MdlBiNe","reg",2,"fcED","G1472",3,"A",2.6,"percent",0.4,0.566150382739325,NA
"v8OOr4HHwaTU8MdlBiNe","reg",2,"fcED","G1948",100,"A",2126085,"count",2125985,4.00246464260148,NA
"kOdPwuboub15eEeAr6EV","reg",2,"fcAE","C1039",10,"B",4.23,"percent",5.77,-0.443882951159057,NA
"kOdPwuboub15eEeAr6EV","reg",2,"fcAE","G2063",10250,"B",8986,"count",1264,-0.9638651377468,NA
"vlbtkquRlMj2bw9Obpel","sup",2,"fcBA","C47",163,"C",104,"count",59,0.306307616857495,0.18292741182095
"vlbtkquRlMj2bw9Obpel","sup",2,"fcBA","M7949",11.65,"C",12.116,"million km2",0.465999999999999,0.841725478363407,-0.499197464639492
"jtLHDBCHTQmFdAKk960m","reg",2,"fcAE","C1039",29,"B",4.23,"percent",24.77,1.31797823338484,NA
"jtLHDBCHTQmFdAKk960m","reg",2,"fcAE","G2063",3475,"B",8986,"count",5511,1.35184169496745,NA
"Z7HAk5IK2pAcOuvwDVKU","reg",2,"fcAE","C1039",7,"B",4.23,"percent",2.77,-0.722071559244935,NA
"Z7HAk5IK2pAcOuvwDVKU","reg",2,"fcAE","G2063",9500,"B",8986,"count",514,-1.37280795021105,NA
"y1JEIOJQJeheqJoGWlQ9","reg",2,"fcED","G1472",2.5,"A",2.6,"percent",0.1,-0.52395283868422,NA
"y1JEIOJQJeheqJoGWlQ9","reg",2,"fcED","G1948",2278394,"A",2126085,"count",152309,-1.19913143582407,NA
"SqhyFLTUrs6u8geASTKe","reg",2,"fcCB","G1920",6.6e+07,"D",550347492,"USD",484347492,0.610937083075545,NA
"SqhyFLTUrs6u8geASTKe","reg",2,"fcCB","G2006",38,"D",38.6,"percent",0.600000000000001,-0.687616095704886,NA
"bluXweOxWhtauCX3IxLG","reg",2,"fcDC","G2404",3.2,"E",2.1,"percent",1.1,0.00355615499515022,NA
"zMXD254LotKBsOco4pqG","sup",2,"fcCB","G1920",7.75e+08,"D",550347492,"USD",224652508,-0.571790914940192,-0.532642534344474
"zMXD254LotKBsOco4pqG","sup",2,"fcCB","G2006",38,"D",38.6,"percent",0.600000000000001,-0.542250709187584,-0.687616095704886
"MsFmP6wdnCIMDOShVnvZ","reg",2,"fcDC","G2404",4.2,"E",2.1,"percent",2.1,0.760047308508891,NA
"nvEdRy29lvIepo6irKSa","reg",2,"fcBA","C47",50,"C",104,"count",54,0.0370585704982099,NA
"nvEdRy29lvIepo6irKSa","reg",2,"fcBA","M7949",60,"C",12.116,"million km2",47.884,5,NA
"TP6Rekgd2IbyVfqjO2tp","reg",2,"fcDC","G2404",3.7,"E",2.1,"percent",1.6,0.381801731752021,NA
"Rq5U9Lz0pF3xtvZkt1Ux","reg",2,"fcDC","G2404",2.2,"E",2.1,"percent",0.1,-0.75293499851859,NA
"vUNlbVbzGuUdf0RQhjl2","reg",2,"fcBA","C47",155,"C",104,"count",51,-0.0504627342954345,NA
"vUNlbVbzGuUdf0RQhjl2","reg",2,"fcBA","M7949",12.46,"C",12.116,"million km2",0.344000000000001,-0.576031771921251,NA
"QMFZxe3WbmxMlJ9c7oxx","reg",2,"fcED","G1472",2.5,"A",2.6,"percent",0.1,-0.52395283868422,NA
"QMFZxe3WbmxMlJ9c7oxx","reg",2,"fcED","G1948",3e+06,"A",2126085,"count",873915,0.702651298408068,NA
"gwfb91tqDWXbpOi8L2tf","reg",2,"fcED","G1472",2.6,"A",2.6,"percent",0,-0.887320579158736,NA
"gwfb91tqDWXbpOi8L2tf","reg",2,"fcED","G1948",2600000,"A",2126085,"count",473915,-0.351543225602064,NA
"2iVCvt2uDG7ilHZmkqP2","reg",2,"fcBA","C47",78000,"C",104,"count",77896,5,NA
"2iVCvt2uDG7ilHZmkqP2","reg",2,"fcBA","M7949",14875,"C",12.116,"million km2",14862.884,5,NA
"713sXb02mkrHAlE48iCz","reg",2,"fcED","G1472",2.2,"A",2.6,"percent",0.4,0.566150382739325,NA
"713sXb02mkrHAlE48iCz","reg",2,"fcED","G1948",2600000,"A",2126085,"count",473915,-0.351543225602064,NA
"rHoyDZKUzkS6LFeBuzf5","reg",2,"fcDC","G2404",2.3,"E",2.1,"percent",0.2,-0.677285883167217,NA
"3hT6jBPVahtgMDOshUCe","reg",2,"fcED","G1472",2.55,"A",2.6,"percent",0.0500000000000003,-0.705636708921477,NA
"3hT6jBPVahtgMDOshUCe","reg",2,"fcED","G1948",2900000,"A",2126085,"count",773915,0.439102667405535,NA
"mlhVFjOIFIcEw15BvvUI","reg",2,"fcCB","G1920",8e+08,"D",550347492,"USD",249652508,-0.422553806425492,NA
"mlhVFjOIFIcEw15BvvUI","reg",2,"fcCB","G2006",35,"D",38.6,"percent",3.6,0.44853816495705,NA
"F2DvteunZgYFdBB0EK9W","reg",2,"fcAE","C1039",21,"B",4.23,"percent",16.77,0.576141945155831,NA
"F2DvteunZgYFdBB0EK9W","reg",2,"fcAE","G2063",6200,"B",8986,"count",2786,-0.133983856986005,NA
"mz5gJk7Bysn1ctNZy9nb","reg",2,"fcCB","G1920",7.75e+08,"D",550347492,"USD",224652508,-0.532642534344474,NA
"mz5gJk7Bysn1ctNZy9nb","reg",2,"fcCB","G2006",35,"D",38.6,"percent",3.6,0.44853816495705,NA
"UzgNwCP2klyuj9Bvt9ux","reg",2,"fcED","G1472",2.6,"A",2.6,"percent",0,-0.887320579158736,NA
"UzgNwCP2klyuj9Bvt9ux","reg",2,"fcED","G1948",2250000,"A",2126085,"count",123915,-1.27396343411093,NA
"j3DeFL58jegIOcc4x1ND","reg",2,"fcBA","C47",150,"C",104,"count",46,-0.196331575618175,NA
"j3DeFL58jegIOcc4x1ND","reg",2,"fcBA","M7949",13.5,"C",12.116,"million km2",1.384,0.0789492081855621,NA
"kiTl14IWGtRXdVVJmZgD","reg",2,"fcCB","G1920",760000,"D",550347492,"USD",549587492,0.898224627452921,NA
"kiTl14IWGtRXdVVJmZgD","reg",2,"fcCB","G2006",52,"D",38.6,"percent",13.4,4.15997541645271,NA
"ygxBN9910T1HBGPCCIt2","reg",2,"fcED","G1472",2.35,"A",2.6,"percent",0.25,0.0210987720275525,NA
"ygxBN9910T1HBGPCCIt2","reg",2,"fcED","G1948",2430000,"A",2126085,"count",303915,-0.79957589830637,NA
"ItE5RZJzDMaydeYzryZK","reg",2,"fcDC","G2404",1.8,"E",2.1,"percent",0.3,-0.601636767815842,NA
"5KVDGaVVAHsiHJMjLWGH","reg",2,"fcAE","C1039",59,"B",4.23,"percent",54.77,4.09986431424362,NA
"5KVDGaVVAHsiHJMjLWGH","reg",2,"fcAE","G2063",456,"B",8986,"count",8530,2.9979728294069,NA
"0FX5rBebJhUn0z8tQid9","reg",2,"fcBA","C47",124,"C",104,"count",20,-0.954849550496426,NA
"0FX5rBebJhUn0z8tQid9","reg",2,"fcBA","M7949",14.896,"C",12.116,"million km2",2.78,0.958135216098171,NA
