trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_raven_matrix,task_admc_a1,task_time_series,task_cognitive_reflection,task_impossible_question,task_leapfrog,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_bayesian_update_easy,task_bayesian_update_hard,task_admc_dr,task_admc_rc2,task_number_series,custom_timer_ended_trial,interval_id,response,question_order,pt_trial,block,trial,list_id,stimulus,correct_answer,correct,slider_start,slider_moved,admc_id,admc_response,y_axis_values,chart_height,func,direction,noise_condition,datapoints,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,response_choice,response_slider,id,question_text,answer_1,answer_2,aig_version,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,ns_id,ns_response
html-keyboard-response,304,2480197,0.0-17.0-5.0-4.0-1.15,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>90</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,305,2480552,0.0-17.0-5.0-4.0-0.16,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,353.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,arrowleft,,True,2.0,56.0,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,100.0,90.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,306,2481558,0.0-17.0-5.0-4.0-1.16,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>90</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,307,2481844,0.0-17.0-5.0-4.0-0.17,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,285.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,arrowright,,True,2.0,57.0,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,100.0,100.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,308,2482847,0.0-17.0-5.0-4.0-1.17,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>100</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,309,2483139,0.0-17.0-5.0-4.0-0.18,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,291.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,arrowright,,True,2.0,58.0,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,100.0,100.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,310,2484156,0.0-17.0-5.0-4.0-1.18,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>100</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,311,2484260,0.0-17.0-5.0-4.0-0.19,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,102.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,arrowright,,True,2.0,59.0,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,100.0,100.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,312,2485265,0.0-17.0-5.0-4.0-1.19,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>100</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,313,2489325,0.0-17.0-5.0-5.0-0.0-0.0,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,4058.0,,,,,,,,,,,,leapfrog_pt_trial_interblock_question,,,,,,,,,,,,,,,,,,False,336.0,{'prediction': '4'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,314,2491819,0.0-17.0-5.0-5.0-0.0-1.0,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,2482.0,,,,,,,,,,,,pt_trial_after_interblock,,,,,,,,,,,,,,,,,,False,337.0, ,,,,,,"<p>Now, please <b>place your right hand on the left and right arrow keys</b>.</p>
                            <p><i>Press the <b>spacebar</b> with your left hand whenever you are ready to continue!</i></p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,315,2493144,0.0-17.0-5.0-6.0-0.0,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,1324.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,arrowright,,True,3.0,60.0,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,100.0,100.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,316,2494148,0.0-17.0-5.0-6.0-1.0,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>100</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,317,2494502,0.0-17.0-5.0-6.0-0.1,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,353.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,arrowright,,True,3.0,61.0,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,100.0,100.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,318,2495508,0.0-17.0-5.0-6.0-1.1,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>100</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,319,2495515,0.0-17.0-5.0-6.0-0.2,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,5.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,arrowright,,True,3.0,62.0,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,100.0,100.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,320,2496519,0.0-17.0-5.0-6.0-1.2,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>100</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,321,2496560,0.0-17.0-5.0-6.0-0.3,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,40.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,arrowright,,True,3.0,63.0,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,100.0,100.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,322,2497566,0.0-17.0-5.0-6.0-1.3,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>100</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,323,2498496,0.0-17.0-5.0-6.0-0.4,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,928.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,arrowright,,True,3.0,64.0,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,100.0,100.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,324,2499501,0.0-17.0-5.0-6.0-1.4,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>100</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,325,2499970,0.0-17.0-5.0-6.0-0.5,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,458.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,arrowleft,,True,3.0,65.0,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,120.0,110.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,326,2500973,0.0-17.0-5.0-6.0-1.5,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>110</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,327,2501151,0.0-17.0-5.0-6.0-0.6,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,177.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,arrowleft,,True,3.0,66.0,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,120.0,110.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,328,2502157,0.0-17.0-5.0-6.0-1.6,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>110</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,329,2502501,0.0-17.0-5.0-6.0-0.7,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,342.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,arrowleft,,True,3.0,67.0,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,120.0,110.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,330,2503517,0.0-17.0-5.0-6.0-1.7,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>110</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,331,2503804,0.0-17.0-5.0-6.0-0.8,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,284.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,arrowleft,,True,3.0,68.0,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,120.0,110.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,332,2504820,0.0-17.0-5.0-6.0-1.8,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>110</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,333,2504943,0.0-17.0-5.0-6.0-0.9,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,122.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,arrowleft,,True,3.0,69.0,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,120.0,110.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,334,2505952,0.0-17.0-5.0-6.0-1.9,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>110</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,335,2506285,0.0-17.0-5.0-6.0-0.10,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,331.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,arrowright,,True,3.0,70.0,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,120.0,120.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,336,2507298,0.0-17.0-5.0-6.0-1.10,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>120</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,337,2507539,0.0-17.0-5.0-6.0-0.11,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,239.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,arrowright,,True,3.0,71.0,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,120.0,120.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,338,2508542,0.0-17.0-5.0-6.0-1.11,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>120</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,339,2508728,0.0-17.0-5.0-6.0-0.12,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,184.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,arrowright,,True,3.0,72.0,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,120.0,120.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,340,2509745,0.0-17.0-5.0-6.0-1.12,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>120</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,341,2509971,0.0-17.0-5.0-6.0-0.13,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,209.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,arrowright,,True,3.0,73.0,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,120.0,120.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,342,2510975,0.0-17.0-5.0-6.0-1.13,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>120</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,343,2512300,0.0-17.0-5.0-6.0-0.14,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,1323.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,arrowright,,True,3.0,74.0,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,120.0,120.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,344,2513312,0.0-17.0-5.0-6.0-1.14,RFOrWXAQX1PO0HFZwlLL,33ff78,5,yw4PXovh0m4pqngu5NodDQyjzC,yCJTBVmX9u1u8d5C6WzLrUbIIl,1366.0,768.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>120</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
