view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_impossible_question,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_bayesian_update_easy,task_bayesian_update_hard,task_leapfrog,task_cognitive_reflection,task_admc_dr,task_admc_rc2,task_number_series,task_time_series,task_admc_a1,task_raven_matrix,custom_timer_ended_trial,interval_id,response,response_choice,response_slider,slider_moved,pt_trial,block,trial,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,stimulus,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,question_order,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,admc_id,admc_response,slider_start,ns_id,ns_response,y_axis_values,chart_height,func,direction,noise_condition,datapoints,list_id
,,html-keyboard-response,152,469211,0.0-7.0-7.0-0.0-2.16,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,153,469512,0.0-7.0-7.0-0.0-0.17,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2289.0,html-keyboard-response,154,471802,0.0-7.0-7.0-0.0-1.17,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,False,153.0,arrowright,,,,False,0.0,17.0,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",A,conflict,array,text,large,small,0.03,0.1,400.0,10.0,12.0,1.0,388.0,9.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,155,472804,0.0-7.0-7.0-0.0-2.17,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,156,473105,0.0-7.0-7.0-0.0-0.18,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,841.0,html-keyboard-response,157,473947,0.0-7.0-7.0-0.0-1.18,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,False,156.0,arrowleft,,,,False,0.0,18.0,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",A,harmony,array,text,large,small,0.31,0.3,400.0,10.0,124.0,3.0,276.0,7.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,158,474949,0.0-7.0-7.0-0.0-2.18,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,159,475251,0.0-7.0-7.0-0.0-0.19,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,785.0,html-keyboard-response,160,476037,0.0-7.0-7.0-0.0-1.19,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,False,159.0,arrowright,,,,False,0.0,19.0,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",A,conflict,array,text,large,small,0.17,0.2,400.0,10.0,68.0,2.0,332.0,8.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,161,477038,0.0-7.0-7.0-0.0-2.19,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,162,477339,0.0-7.0-7.0-0.0-0.20,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1226.0,html-keyboard-response,163,478566,0.0-7.0-7.0-0.0-1.20,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,False,162.0,arrowright,,,,False,0.0,20.0,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",A,harmony,array,text,small,large,0.2,0.27,10.0,400.0,2.0,108.0,8.0,292.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,164,479570,0.0-7.0-7.0-0.0-2.20,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,165,479886,0.0-7.0-7.0-0.0-0.21,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1961.0,html-keyboard-response,166,481848,0.0-7.0-7.0-0.0-1.21,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,False,165.0,arrowleft,,,,False,0.0,21.0,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",A,conflict,array,text,small,large,0.1,0.07,10.0,400.0,1.0,28.0,9.0,372.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,167,482849,0.0-7.0-7.0-0.0-2.21,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,168,483151,0.0-7.0-7.0-0.0-0.22,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1019.0,html-keyboard-response,169,484170,0.0-7.0-7.0-0.0-1.22,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,False,168.0,arrowleft,,,,False,0.0,22.0,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",A,conflict,array,text,large,small,0.19,0.2,400.0,10.0,76.0,2.0,324.0,8.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,170,485172,0.0-7.0-7.0-0.0-2.22,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,171,485474,0.0-7.0-7.0-0.0-0.23,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1586.0,html-keyboard-response,172,487061,0.0-7.0-7.0-0.0-1.23,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,False,171.0,arrowleft,,,,False,0.0,23.0,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",A,conflict,array,array,small,large,0.1,0.04,10.0,400.0,1.0,16.0,9.0,384.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,173,488062,0.0-7.0-7.0-0.0-2.23,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,174,488364,0.0-7.0-7.0-0.0-0.24,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1006.0,html-keyboard-response,175,489371,0.0-7.0-7.0-0.0-1.24,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,False,174.0,arrowright,,,,False,0.0,24.0,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",A,conflict,array,text,small,large,0.1,0.08,10.0,400.0,1.0,32.0,9.0,368.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,176,490376,0.0-7.0-7.0-0.0-2.24,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,177,490678,0.0-7.0-7.0-0.0-0.25,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1594.0,html-keyboard-response,178,492273,0.0-7.0-7.0-0.0-1.25,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,False,177.0,arrowright,,,,False,0.0,25.0,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",A,conflict,text,array,small,large,0.3,0.2199999999999999,10.0,400.0,3.0,88.0,7.0,312.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,179,493274,0.0-7.0-7.0-0.0-2.25,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,180,493576,0.0-7.0-7.0-0.0-0.26,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1716.0,html-keyboard-response,181,495293,0.0-7.0-7.0-0.0-1.26,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,False,180.0,arrowleft,,,,False,0.0,26.0,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",A,conflict,text,text,small,large,0.2,0.13,10.0,400.0,2.0,52.0,8.0,348.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,182,496295,0.0-7.0-7.0-0.0-2.26,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,183,496597,0.0-7.0-7.0-0.0-0.27,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1645.0,html-keyboard-response,184,498244,0.0-7.0-7.0-0.0-1.27,Mtt1LXmZWBninK3ggSK5,33ff78,5,BMYWb7wq4628VWaiFfTRUNQ0vY,0GevTIoiFsqj0FlRUW8iVD5pLI,,,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,False,183.0,arrowleft,,,,False,0.0,27.0,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",A,harmony,array,array,large,small,0.36,0.3,400.0,10.0,144.0,3.0,256.0,7.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
