trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_a1,task_time_series,task_admc_rc2,task_impossible_question,task_raven_matrix,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_leapfrog,task_cognitive_reflection,task_number_series,task_bayesian_update_easy,task_bayesian_update_hard,task_admc_dr,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,question_order,list_id,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,ns_id,ns_response,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score
html-keyboard-response,2,11,0.0-2.0,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,QYou6MvQZTJ2EccCs4ZJ4MuPx6,,,,,,,,,,,,,,,,async_data_save,,experiment__save_session_params,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,7,22832,0.0-7.0-1.0,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,8,41680,0.0-7.0-2.0,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,"[{'page_index': 0, 'viewing_time': 18846}]",18846.0,,,,,,,,,,,,admc_a1_instructions,,,,,,,,,,,,,,,,,,False,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,9,41682,0.0-7.0-3.0,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,10,62869,0.0-7.0-4.0-0.0,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,21182.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,10.0,"<p><b>Problem</b></p>
                                <p>Imagine that a type of condom has a 95% success rate. That is, if you have sex with someone who has the AIDS virus, there is a 95% chance that this type of condom will prevent you from being exposed to the AIDS virus.</p>
                                <p>Should the government allow this type of condom to be advertised as ""an effective method for lowering the risk of AIDS""?</p>",1.0,5,True,a1_1,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,11,95743,0.0-7.0-4.0-0.1,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,32868.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,12.0,"<p><b>Problem</b></p>
                                <p>Imagine the following situation. You are entertaining a special friend by inviting them for dinner. You are making your favorite lasagna dish with ground beef. Your roommate goes to the grocery store and purchases a package of ground beef for you. The label says 80% lean ground beef.</p>
                                <p>What's your evaluation of the quality of this ground beef?</p>",1.0,4,True,a1_2,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,12,127607,0.0-7.0-4.0-0.2,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,31859.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,14.0,"<p><b>Problem</b></p>
                                <p>In a recent confidential survey completed by graduating seniors, 35% of those completing the survey stated that they had never cheated during their college career.</p>
                                <p>Considering the results of the survey, how would you rate the incidence of cheating at your university?</p>",1.0,2,True,a1_3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,13,187077,0.0-7.0-4.0-0.3,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,59465.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,16.0,"<p><b>Problem</b></p>
                                <p>As R&D manager, one of your project teams has come to you requesting an additional $100,000 in funds for a project you instituted several months ago. The project is already behind schedule and over budget, but the team still believes it can be successfully completed. You currently have $500,000 remaining in your budget unallocated, but which must carry you for the rest of the fiscal year. Lowering the balance by an additional $100,000 might jeopardize flexibility to respond to other opportunities.</p>
                                <p>Evaluating the situation, you believe there is a fair chance the project will not succeed, in which case the additional funding would be lost; if successful, however, the money would be well spent. You also noticed that of the projects undertaken by this team, 30 of the last 50 have been successful.</p>
                                <p>What is the likelihood you would fund the request?</p>",1.0,2,True,a1_4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,14,220435,0.0-7.0-4.0-0.4,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,33353.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,19.0,"<p><b>Problem</b></p>
                                <p>Suppose a student got 90% correct in the mid-term exam and 70% correct in the final-term exam, what would be your evaluations of this student's performance?</p>",1.0,4,True,a1_5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,15,239307,0.0-7.0-4.0-0.5,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,18866.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,21.0,"<p><b>Problem</b></p>
                                <p>Imagine that a woman parked illegally. After talking to her, you believe that there is a 20% chance that she did not know she parked illegally.</p>
                                <p>With this in mind, how much of a fine do you believe this woman deserves?</p>",1.0,3,True,a1_6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,16,262899,0.0-7.0-4.0-0.6,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,23586.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,22.0,"<p><b>Problem</b></p>
                                <p>Imagine that a new technique has been developed to treat a particular kind of cancer. This technique has a 50% chance of success, and is available at the local hospital.</p>
                                <p>A member of your immediate family is a patient at the local hospital with this kind of cancer. Would you encourage him or her to undergo treatment using this technique?</p>",1.0,4,True,a1_7,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,17,262905,0.0-7.0-5.0,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,18,272665,0.0-7.0-6.0,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,9758.0,,,,,,,,,,,,feedback_ADMC Framing A1,,,,,,,,,,,,,,,,,,,,"
                    <p class=""instructions-title"">Feedback?</p>
                    <p>If something went wrong during the last task or you think we can improve it, please leave any and all comments you have here.</p>
                    <div style=""margin-bottom: 3vh"">
                        <textarea id=""task_feedback"" style=""width: 50vw; height: 15vh;""></textarea>
                    </div>
                ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,19,272666,0.0-7.0-7.0,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,20,272669,0.0-7.0-9.0,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,,,,,,,,,,,,,async_data_save,,ADMC Framing A1__completed,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,21,272674,0.0-9.0-0.0-0.0,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,22,272827,0.0-9.0-1.0,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,23,339721,0.0-9.0-2.0,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,"[{'page_index': 0, 'viewing_time': 49962}, {'page_index': 1, 'viewing_time': 16928}]",66891.0,,,,,,,,,,,,time_series_general_instructions,,,,,,,,,,,,,,,,,,False,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,24,339726,0.0-9.0-3.0,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,25,345705,0.0-9.0-4.0,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,"[{'page_index': 0, 'viewing_time': 5976}]",5977.0,,,,,,,,,,,,time_series_pt_trials_instructions,,,,,,,,,,,,,,,,,,False,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,26,362692,0.0-9.0-5.0-0.0-0.0,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,16982.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,31.0,"<canvas id=""myChart""></canvas>",,0,,,,"[147.06947962904354, 226.29833929955106, 228.347446016074, 217.98019936730097, 168.65523784534886, 272.17492421306315, 268.2025609526278, 265.70284719093013, 246.13551813776667, 258.0876455931684, '246.02', '261.17', '249.05', '260.16', '249.05', '221.78']",508.6,True,0.0,0.0,linear,positive,high,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,27,377158,0.0-9.0-5.0-0.0-0.1,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,14461.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,33.0,"<canvas id=""myChart""></canvas>",,0,,,,"[85.93798615150115, 84.52776645309116, 103.70366783895795, 70.28484375561621, 95.46158895100461, 80.19062072090136, 65.8094331922226, 79.38633270217397, 78.20643361322162, 91.70930275266946, 92.70743583973956, 95.09207393225982, 86.57392741664256, 106.42701615352912, 91.96470134274456, 100.01856097302337, 112.11731607601223, 110.75326911048168, 109.49285780194087, 107.42331574860282, 131.791581229517, 105.0017829893522, 137.57273638976787, 130.75292305753808, 144.88895367044418, 155.98217745614133, 142.5691499482885, 188.05372445302893, 199.25491654925975, 220.02353913724738, '221.78', '247.03', '223.80', '228.85', '234.91', '240.97']",508.6,True,0.0,1.0,exponential,positive,low,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,28,390639,0.0-9.0-5.0-0.0-0.2,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,13474.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,34.0,"<canvas id=""myChart""></canvas>",,0,,,,"[180.2444018642581, 176.09019220241805, 207.80336165857594, 206.98849602577263, 219.9416706888224, 211.4162838185436, 240.23107693403784, 240.2182660910901, 261.2965678000197, 262.1787532164085, '251.07', '270.26', '275.31', '252.08', '282.38', '310.65']",508.6,True,0.0,2.0,linear,positive,low,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,29,405006,0.0-9.0-5.0-0.0-0.3,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,14355.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,36.0,"<canvas id=""myChart""></canvas>",,0,,,,"[319.59981775358057, 290.6460885478369, 353.59852415458374, 296.4191488361272, 312.76236679179635, 274.71012800276685, 339.857526112407, 283.5177579366708, 324.1033152842761, 339.0135698873525, 276.941305770391, 271.16095726973623, 269.31394691071694, 261.57738367152575, 227.41245248328397, 274.51546939345815, 198.96961781281334, 252.00400227512526, 212.05700733260448, 210.74585630274643, 233.34783156149788, 194.77731169660808, 263.39046073427323, 248.98686380165827, 285.81626011111666, 212.41850559215408, 177.499219102615, 158.1778197918009, 214.16678691578628, 211.68838355861985, '202.59', '189.46', '229.86', '235.92', '265.21', '212.69']",508.6,True,0.0,3.0,linear,negative,high,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,30,409499,0.0-9.0-6.0,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,"[{'page_index': 0, 'viewing_time': 4486}]",4487.0,,,,,,,,,,,,time_series_test_trials_instructions,,,,,,,,,,,,,,,,,,False,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,31,425068,0.0-9.0-7.0-0.0-0.0,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,15566.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,38.0,"<canvas id=""myChart""></canvas>",,0,,,,"[314.11843834249214, 310.43374841964373, 313.49209021155826, 333.1323083492035, 299.81198288199056, 287.3213864314294, 234.92301628165364, 218.90568754219657, 226.22481821351462, 233.81460902152543, '235.92', '249.05', '242.99', '261.17', '253.09', '254.10']",508.6,False,0.0,0.0,linear,negative,high,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,32,439310,0.0-9.0-7.0-0.0-0.1,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,14232.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,40.0,"<canvas id=""myChart""></canvas>",,0,,,,"[92.87217425872196, 70.14548513284873, 96.57085787402863, 80.9109015030318, 96.2774690738636, 86.26501689064106, 96.05561310670889, 105.70302397498686, 127.20833486157242, 123.87014418103242, '122.81', '143.01', '126.85', '131.90', '138.97', '130.89']",508.6,False,0.0,1.0,exponential,positive,low,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,33,455995,0.0-9.0-7.0-0.0-0.2,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,16676.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,41.0,"<canvas id=""myChart""></canvas>",,0,,,,"[214.1007830436089, 199.92890257388993, 107.81083499951879, 192.1978091319521, 208.3892804031423, 239.94108418604958, 124.98208097623439, 212.7866408882292, 181.99697706253767, 177.1012384792097, 247.58011463906257, 280.2213869153943, 239.40966793245082, 233.07138294602797, 240.94787483559026, 226.82479716597578, 245.8486096588047, 253.62284992994472, 275.2666549624792, 275.79858493681076, 335.7914575284949, 281.1894932982535, 261.71106236569943, 238.9109774619609, 233.9730236394376, 268.98828253352997, 341.1706699895344, 316.26499749366326, 318.4519243328753, 320.3528671202335, '311.66', '298.53', '262.18', '305.60', '329.84', '348.02']",508.6,False,0.0,2.0,linear,positive,high,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,34,473683,0.0-9.0-7.0-0.0-0.3,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,17679.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,43.0,"<canvas id=""myChart""></canvas>",,0,,,,"[174.2698834707485, 174.05414928382186, 200.51316833918776, 215.83875604158902, 212.39555747954716, 203.68772408645862, 197.39430689627858, 204.73509250756106, 225.5818926816009, 218.4430610479364, 210.91752031556788, 226.705622213598, 237.53174958986938, 235.55868280719852, 253.21314929139396, 238.87319833650199, 244.37878071622566, 264.37528313272327, 264.9063873393044, 264.1671444554735, 279.2092392057139, 286.4708219674447, 274.7228782283263, 269.9813126483753, 300.74110258681736, 287.4794698383983, 299.63522843687673, 315.7006703196557, 303.0943130998062, 303.3696504710738, '309.64', '301.56', '307.62', '324.79', '309.64', '341.96']",508.6,False,0.0,3.0,linear,positive,low,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,35,490533,0.0-9.0-7.0-0.0-0.4,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,16843.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,44.0,"<canvas id=""myChart""></canvas>",,0,,,,"[302.4682097159973, 351.1355639956198, 337.5803456947948, 301.30972105286304, 355.64624477100404, 289.65595544606447, 301.79029894124477, 271.72211097999025, 286.8204292098621, 289.24629385557176, 241.76867912314336, 237.18834824257783, 316.613402360592, 250.16334979863507, 300.7904902810833, 259.7872302956318, 286.48816346650517, 221.3495478973692, 261.7277818665031, 269.16038662239725, 240.97493649951014, 208.83802802141153, 296.56908466100026, 239.32057635875324, 239.27712450729953, 219.7416838908595, 184.7129636016989, 173.6819842283768, 143.95615352731252, 196.27715109548353, '212.69', '201.58', '245.01', '298.53', '239.96', '214.71']",508.6,False,0.0,4.0,linear,negative,high,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,36,510245,0.0-9.0-7.0-0.0-0.5,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,19706.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,46.0,"<canvas id=""myChart""></canvas>",,0,,,,"[423.9278527332764, 427.40264046560884, 360.91834942376704, 428.92069500656976, 446.7458503984921, 378.3194413904649, 415.9970825410724, 406.8494495897808, 375.1277507004494, 416.0877436106921, 423.20152320683394, 406.9738002048143, 394.43029943553285, 367.4874322996983, 367.5811046394607, 445.8803813583039, 453.1600522062225, 371.1764644994398, 411.1767893714719, 357.2846959595496, 389.9514903085829, 391.1367470433887, 376.24148509118265, 348.1565300641779, 355.5614421044507, 336.45000841611494, 349.085774163898, 389.780001424027, 281.1730759201621, 291.6511094405639, '306.61', '406.60', '425.79', '325.80', '398.52', '436.90']",508.6,False,0.0,5.0,exponential,negative,high,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,37,524079,0.0-9.0-7.0-0.0-0.6,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,13827.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,48.0,"<canvas id=""myChart""></canvas>",,0,,,,"[80.43007839603378, 84.06992825978114, 74.6927597099851, 85.43304687777149, 67.14234059749964, 60.88578896486801, 144.02173305855152, 40.03050200686016, 79.364528398547, 63.28161156455745, 69.56199984036061, 121.98225040390618, 87.11550312498302, 74.59851087945579, 116.04418054036566, 98.3772444164785, 118.67468740098636, 90.22783842847886, 90.96109801589748, 106.93941247799542, 101.60155429026366, 159.4101702518867, 121.62512975393504, 152.56008668995997, 156.64347633808, 153.4757025802332, 168.12373070065175, 156.57623296974194, 223.46878285861018, 228.17074215217235, '212.69', '216.73', '236.93', '230.87', '280.36', '234.91']",508.6,False,0.0,6.0,exponential,positive,high,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,38,537991,0.0-9.0-7.0-0.0-0.7,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,13905.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,49.0,"<canvas id=""myChart""></canvas>",,0,,,,"[428.59468275696906, 415.73898388852376, 417.73773589895507, 429.338505536467, 410.73817796651383, 419.2716311708026, 404.3282795636016, 403.3376309853916, 392.7109017963176, 388.4791240983066, '381.35', '381.35', '371.25', '365.19', '382.36', '350.04']",508.6,False,0.0,7.0,exponential,negative,low,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,39,554803,0.0-9.0-7.0-0.0-0.8,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,16805.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,50.0,"<canvas id=""myChart""></canvas>",,0,,,,"[152.20830909946025, 205.3148691307596, 147.28055948449716, 176.48415324593242, 243.64290923282348, 223.19507429917604, 221.47384266128634, 188.30085810675493, 258.0287578751376, 260.15040470845247, '282.38', '256.12', '239.96', '281.37', '281.37', '267.23']",508.6,False,0.0,8.0,linear,positive,high,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,40,572319,0.0-9.0-7.0-0.0-0.9,MUe7xZKzTix8JJXQ0oPT,33ff78,5,Qp5qP8pvKl2uFErj1WWDUXfPU2,h9UrJmVZlhIf67vwqMXbTkD9YZ,1366.0,768.0,,17510.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,52.0,"<canvas id=""myChart""></canvas>",,0,,,,"[178.5379844958619, 190.91123781033602, 217.78848358068367, 192.8346775621552, 218.68695466791996, 237.1090689957846, 242.27553519169678, 243.6052156934866, 258.3963382237013, 270.16920437524226, '275.31', '301.56', '287.43', '277.33', '315.70', '325.80']",508.6,False,0.0,9.0,linear,positive,low,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
