trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,trial_name,experiment_parameters,task_admc_a1,task_admc_dr,data_checkpoint,data_checkpoint_ind,view_history,rt,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,success,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,question_order
instructions,10,11139,0.0-9.0-2.0,Ayuk1Is8KqUKbSFHsaU9,all,,UWgMdpyDuRVPf3D4JN5atmkapx,RxnxSZZ4F27ByoqWMh7YxMuCM6,admc_a1_instructions,,,,,,"[{'page_index': 0, 'viewing_time': 1606}]",1606.0,1306.0,1080.0,,,,,,,,,,,,,False,71.0,,,,,,,
call-function,11,11142,0.0-9.0-3.0,Ayuk1Is8KqUKbSFHsaU9,all,,UWgMdpyDuRVPf3D4JN5atmkapx,RxnxSZZ4F27ByoqWMh7YxMuCM6,,,,,,,,,1306.0,1080.0,,,,,,,,,,,,,,,,,,,,,
html-slider-response,12,12661,0.0-9.0-4.0-0.0,Ayuk1Is8KqUKbSFHsaU9,all,,UWgMdpyDuRVPf3D4JN5atmkapx,RxnxSZZ4F27ByoqWMh7YxMuCM6,resistance_to_framing_trial,,,,,,,1517.0,1306.0,1080.0,,,,,,,,,,,,,False,85.0,"<p><b>Problem</b></p>
                                <p>Imagine that a type of condom has a 95% success rate. That is, if you have sex with someone who has the AIDS virus, there is a 95% chance that this type of condom will prevent you from being exposed to the AIDS virus.</p>
                                <p>Should the government allow this type of condom to be advertised as ""an effective method for lowering the risk of AIDS""?</p>",1.0,4,True,a1_1,4.0,
html-slider-response,13,14265,0.0-9.0-4.0-0.1,Ayuk1Is8KqUKbSFHsaU9,all,,UWgMdpyDuRVPf3D4JN5atmkapx,RxnxSZZ4F27ByoqWMh7YxMuCM6,resistance_to_framing_trial,,,,,,,1600.0,1306.0,1080.0,,,,,,,,,,,,,False,105.0,"<p><b>Problem</b></p>
                                <p>Imagine the following situation. You are entertaining a special friend by inviting them for dinner. You are making your favorite lasagna dish with ground beef. Your roommate goes to the grocery store and purchases a package of ground beef for you. The label says 80% lean ground beef.</p>
                                <p>What's your evaluation of the quality of this ground beef?</p>",1.0,4,True,a1_2,4.0,
html-slider-response,14,15498,0.0-9.0-4.0-0.2,Ayuk1Is8KqUKbSFHsaU9,all,,UWgMdpyDuRVPf3D4JN5atmkapx,RxnxSZZ4F27ByoqWMh7YxMuCM6,resistance_to_framing_trial,,,,,,,1230.0,1306.0,1080.0,,,,,,,,,,,,,False,130.0,"<p><b>Problem</b></p>
                                <p>In a recent confidential survey completed by graduating seniors, 35% of those completing the survey stated that they had never cheated during their college career.</p>
                                <p>Considering the results of the survey, how would you rate the incidence of cheating at your university?</p>",1.0,4,True,a1_3,4.0,
html-slider-response,15,16734,0.0-9.0-4.0-0.3,Ayuk1Is8KqUKbSFHsaU9,all,,UWgMdpyDuRVPf3D4JN5atmkapx,RxnxSZZ4F27ByoqWMh7YxMuCM6,resistance_to_framing_trial,,,,,,,1232.0,1306.0,1080.0,,,,,,,,,,,,,False,151.0,"<p><b>Problem</b></p>
                                <p>As R&D manager, one of your project teams has come to you requesting an additional $100,000 in funds for a project you instituted several months ago. The project is already behind schedule and over budget, but the team still believes it can be successfully completed. You currently have $500,000 remaining in your budget unallocated, but which must carry you for the rest of the fiscal year. Lowering the balance by an additional $100,000 might jeopardize flexibility to respond to other opportunities.</p>
                                <p>Evaluating the situation, you believe there is a fair chance the project will not succeed, in which case the additional funding would be lost; if successful, however, the money would be well spent. You also noticed that of the projects undertaken by this team, 30 of the last 50 have been successful.</p>
                                <p>What is the likelihood you would fund the request?</p>",1.0,4,True,a1_4,4.0,
html-slider-response,16,18197,0.0-9.0-4.0-0.4,Ayuk1Is8KqUKbSFHsaU9,all,,UWgMdpyDuRVPf3D4JN5atmkapx,RxnxSZZ4F27ByoqWMh7YxMuCM6,resistance_to_framing_trial,,,,,,,1457.0,1306.0,1080.0,,,,,,,,,,,,,False,173.0,"<p><b>Problem</b></p>
                                <p>Suppose a student got 90% correct in the mid-term exam and 70% correct in the final-term exam, what would be your evaluations of this student's performance?</p>",1.0,4,True,a1_5,4.0,
html-slider-response,17,19862,0.0-9.0-4.0-0.5,Ayuk1Is8KqUKbSFHsaU9,all,,UWgMdpyDuRVPf3D4JN5atmkapx,RxnxSZZ4F27ByoqWMh7YxMuCM6,resistance_to_framing_trial,,,,,,,1661.0,1306.0,1080.0,,,,,,,,,,,,,False,194.0,"<p><b>Problem</b></p>
                                <p>Imagine that a woman parked illegally. After talking to her, you believe that there is a 20% chance that she did not know she parked illegally.</p>
                                <p>With this in mind, how much of a fine do you believe this woman deserves?</p>",1.0,4,True,a1_6,4.0,
html-slider-response,18,21640,0.0-9.0-4.0-0.6,Ayuk1Is8KqUKbSFHsaU9,all,,UWgMdpyDuRVPf3D4JN5atmkapx,RxnxSZZ4F27ByoqWMh7YxMuCM6,resistance_to_framing_trial,,,,,,,1773.0,1306.0,1080.0,,,,,,,,,,,,,False,216.0,"<p><b>Problem</b></p>
                                <p>Imagine that a new technique has been developed to treat a particular kind of cancer. This technique has a 50% chance of success, and is available at the local hospital.</p>
                                <p>A member of your immediate family is a patient at the local hospital with this kind of cancer. Would you encourage him or her to undergo treatment using this technique?</p>",1.0,4,True,a1_7,4.0,
call-function,19,21643,0.0-9.0-5.0,Ayuk1Is8KqUKbSFHsaU9,all,,UWgMdpyDuRVPf3D4JN5atmkapx,RxnxSZZ4F27ByoqWMh7YxMuCM6,,,,,,,,,1306.0,1080.0,,,,,,,,,,,,,,,,,,,,,
html-button-response,20,23637,0.0-9.0-6.0,Ayuk1Is8KqUKbSFHsaU9,all,,UWgMdpyDuRVPf3D4JN5atmkapx,RxnxSZZ4F27ByoqWMh7YxMuCM6,feedback_ADMC Framing A1,,,,,,,1992.0,1306.0,1080.0,,,,,,,,,,,,,,,"
                    <p class=""instructions-title"">Feedback?</p>
                    <p>If something went wrong during the last task or you think we can improve it, please leave any and all comments you have here.</p>
                    <div style=""margin-bottom: 3vh"">
                        <textarea id=""task_feedback"" style=""width: 50vw; height: 15vh;""></textarea>
                    </div>
                ",,1234,,,,
call-function,21,23640,0.0-9.0-7.0,Ayuk1Is8KqUKbSFHsaU9,all,,UWgMdpyDuRVPf3D4JN5atmkapx,RxnxSZZ4F27ByoqWMh7YxMuCM6,,,,,,,,,1306.0,1080.0,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,22,23642,0.0-9.0-9.0,Ayuk1Is8KqUKbSFHsaU9,all,,UWgMdpyDuRVPf3D4JN5atmkapx,RxnxSZZ4F27ByoqWMh7YxMuCM6,async_data_save,,,,ADMC Framing A1__completed,2.0,,,1306.0,1080.0,,,,,,,,,,,,,,,,,,,,,
