trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_graph_literacy,task_admc_rc1,task_admc_a2,task_impossible_question,task_shipley_abstraction,task_time_series,task_shipley_vocab,task_leapfrog,task_coherence_forecasting,task_bayesian_update_easy,task_bayesian_update_hard,task_admc_rp,custom_timer_ended_trial,interval_id,stimulus,response,pt_trial,block,trial,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,slider_start,slider_moved,admc_id,admc_response,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,shipley_abstraction_score,y_axis_values,chart_height,func,direction,noise_condition,datapoints,question_order,shipley_vocabulary_score,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,moved_sliders,cfs_id,cfs_response,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score
html-keyboard-response,843,3264881,0.0-25.0-8.0-1.0-0.37,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,57.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,1.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,130.0,130.0,B,,,,,,,,,,,,,,,
html-keyboard-response,844,3265882,0.0-25.0-8.0-1.0-1.37,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>130</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,845,3265960,0.0-25.0-8.0-1.0-0.38,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,77.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,1.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,130.0,130.0,B,,,,,,,,,,,,,,,
html-keyboard-response,846,3266962,0.0-25.0-8.0-1.0-1.38,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>130</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,847,3267162,0.0-25.0-8.0-1.0-0.39,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,199.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,1.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,130.0,130.0,B,,,,,,,,,,,,,,,
html-keyboard-response,848,3268163,0.0-25.0-8.0-1.0-1.39,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>130</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,849,3268253,0.0-25.0-8.0-2.0-0.0,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,90.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowleft,False,2.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,130.0,120.0,A,,,,,,,,,,,,,,,
html-keyboard-response,850,3269254,0.0-25.0-8.0-2.0-1.0,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>120</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,851,3269402,0.0-25.0-8.0-2.0-0.1,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,145.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,2.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,130.0,130.0,B,,,,,,,,,,,,,,,
html-keyboard-response,852,3270403,0.0-25.0-8.0-2.0-1.1,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>130</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,853,3270494,0.0-25.0-8.0-2.0-0.2,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,89.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,2.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,130.0,130.0,B,,,,,,,,,,,,,,,
html-keyboard-response,854,3271495,0.0-25.0-8.0-2.0-1.2,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>130</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,855,3271585,0.0-25.0-8.0-2.0-0.3,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,89.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowleft,False,2.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,130.0,120.0,A,,,,,,,,,,,,,,,
html-keyboard-response,856,3272586,0.0-25.0-8.0-2.0-1.3,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>120</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,857,3272965,0.0-25.0-8.0-2.0-0.4,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,378.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,2.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,130.0,130.0,B,,,,,,,,,,,,,,,
html-keyboard-response,858,3273966,0.0-25.0-8.0-2.0-1.4,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>130</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,859,3274409,0.0-25.0-8.0-2.0-0.5,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,436.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,2.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,130.0,130.0,B,,,,,,,,,,,,,,,
html-keyboard-response,860,3275411,0.0-25.0-8.0-2.0-1.5,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>130</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,861,3275457,0.0-25.0-8.0-2.0-0.6,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,45.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,2.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,130.0,130.0,B,,,,,,,,,,,,,,,
html-keyboard-response,862,3276458,0.0-25.0-8.0-2.0-1.6,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>130</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,863,3276536,0.0-25.0-8.0-2.0-0.7,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,77.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,2.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,130.0,130.0,B,,,,,,,,,,,,,,,
html-keyboard-response,864,3277538,0.0-25.0-8.0-2.0-1.7,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>130</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,865,3277636,0.0-25.0-8.0-2.0-0.8,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,98.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,2.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,130.0,130.0,B,,,,,,,,,,,,,,,
html-keyboard-response,866,3278637,0.0-25.0-8.0-2.0-1.8,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>130</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,867,3279040,0.0-25.0-8.0-2.0-0.9,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,403.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,2.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,130.0,130.0,B,,,,,,,,,,,,,,,
html-keyboard-response,868,3280042,0.0-25.0-8.0-2.0-1.9,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>130</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,869,3280128,0.0-25.0-8.0-2.0-0.10,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,86.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,2.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,130.0,130.0,B,,,,,,,,,,,,,,,
html-keyboard-response,870,3281131,0.0-25.0-8.0-2.0-1.10,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>130</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,871,3281293,0.0-25.0-8.0-2.0-0.11,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,161.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,2.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,130.0,130.0,B,,,,,,,,,,,,,,,
html-keyboard-response,872,3282294,0.0-25.0-8.0-2.0-1.11,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>130</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,873,3282732,0.0-25.0-8.0-2.0-0.12,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,438.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,2.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,130.0,130.0,B,,,,,,,,,,,,,,,
html-keyboard-response,874,3283733,0.0-25.0-8.0-2.0-1.12,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>130</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,875,3283896,0.0-25.0-8.0-2.0-0.13,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,161.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,2.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,130.0,130.0,B,,,,,,,,,,,,,,,
html-keyboard-response,876,3284899,0.0-25.0-8.0-2.0-1.13,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>130</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,877,3285037,0.0-25.0-8.0-2.0-0.14,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,130.0,,,,,,,,,,,,leapfrog_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em; color: choose;"">CHOOSE</div>
                        <div style=""display: flex; justify-content: space-around; font-size: 2em; margin-top: 2em;"">
                            <div>OPTION A<br><span style=""font-size: 0.5em""><i>(left arrow)</i></span></div>
                            <div>OPTION B<br><span style=""font-size: 0.5em""><i>(right arrow)</i></span></div>
                        </div>",arrowright,False,2.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,150.0,150.0,B,,,,,,,,,,,,,,,
html-keyboard-response,878,3286038,0.0-25.0-8.0-2.0-1.14,nlwShoYSDDnjZbcJjNcJ,223301,5,vNpBQu5MmIZv6xoeaI9Xl3dg9p,DRZjWvxhntQA1qtm2xl2I7Tg6p,1280.0,720.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>150</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
