trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,trial_name,experiment_parameters,task_admc_dr,task_admc_a1,data_checkpoint,data_checkpoint_ind,view_history,rt,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,success,custom_timer_ended_trial,interval_id,response,question_order,admc_id,admc_response,stimulus,slider_start,slider_moved
call-function,10,4808,0.0-9.0-1.0,UzsrTzrbCIVVVLAoKOGQ,all,,89KJN1eukMrlU68egszjilu8at,0Jabq26O2shmP2nOZs8fwGudQr,,,,,,,,,1306.0,1080.0,,,,,,,,,,,,,,,,,,,,,
instructions,11,7953,0.0-9.0-2.0,UzsrTzrbCIVVVLAoKOGQ,all,,89KJN1eukMrlU68egszjilu8at,0Jabq26O2shmP2nOZs8fwGudQr,admc_dr_instructions,,,,,,"[{'page_index': 0, 'viewing_time': 1875}, {'page_index': 1, 'viewing_time': 1269}]",3144.0,1306.0,1080.0,,,,,,,,,,,,,False,68.0,,,,,,,
call-function,12,7960,0.0-9.0-3.0,UzsrTzrbCIVVVLAoKOGQ,all,,89KJN1eukMrlU68egszjilu8at,0Jabq26O2shmP2nOZs8fwGudQr,,,,,,,,,1306.0,1080.0,,,,,,,,,,,,,,,,,,,,,
survey-multi-select,13,9522,0.0-9.0-4.0-0.0,UzsrTzrbCIVVVLAoKOGQ,all,,89KJN1eukMrlU68egszjilu8at,0Jabq26O2shmP2nOZs8fwGudQr,admc_dr_trial,,,,,,,1558.0,1306.0,1080.0,,,,,,,,,,,,,False,94.0,{'dr1': ['A']},[0],dr1,0.0,,,
survey-multi-select,14,10541,0.0-9.0-4.0-0.1,UzsrTzrbCIVVVLAoKOGQ,all,,89KJN1eukMrlU68egszjilu8at,0Jabq26O2shmP2nOZs8fwGudQr,admc_dr_trial,,,,,,,1012.0,1306.0,1080.0,,,,,,,,,,,,,False,114.0,{'dr2': ['A']},[0],dr2,0.0,,,
survey-multi-select,15,11487,0.0-9.0-4.0-0.2,UzsrTzrbCIVVVLAoKOGQ,all,,89KJN1eukMrlU68egszjilu8at,0Jabq26O2shmP2nOZs8fwGudQr,admc_dr_trial,,,,,,,939.0,1306.0,1080.0,,,,,,,,,,,,,False,137.0,{'dr3': ['A']},[0],dr3,0.0,,,
survey-multi-select,16,12431,0.0-9.0-4.0-0.3,UzsrTzrbCIVVVLAoKOGQ,all,,89KJN1eukMrlU68egszjilu8at,0Jabq26O2shmP2nOZs8fwGudQr,admc_dr_trial,,,,,,,937.0,1306.0,1080.0,,,,,,,,,,,,,False,153.0,{'dr4': ['A']},[0],dr4,0.0,,,
survey-multi-select,17,13407,0.0-9.0-4.0-0.4,UzsrTzrbCIVVVLAoKOGQ,all,,89KJN1eukMrlU68egszjilu8at,0Jabq26O2shmP2nOZs8fwGudQr,admc_dr_trial,,,,,,,970.0,1306.0,1080.0,,,,,,,,,,,,,False,173.0,{'dr5': ['A']},[0],dr5,1.0,,,
survey-multi-select,18,14802,0.0-9.0-4.0-0.5,UzsrTzrbCIVVVLAoKOGQ,all,,89KJN1eukMrlU68egszjilu8at,0Jabq26O2shmP2nOZs8fwGudQr,admc_dr_trial,,,,,,,1382.0,1306.0,1080.0,,,,,,,,,,,,,False,192.0,{'dr6': ['A']},[0],dr6,0.0,,,
survey-multi-select,19,16128,0.0-9.0-4.0-0.6,UzsrTzrbCIVVVLAoKOGQ,all,,89KJN1eukMrlU68egszjilu8at,0Jabq26O2shmP2nOZs8fwGudQr,admc_dr_trial,,,,,,,1321.0,1306.0,1080.0,,,,,,,,,,,,,False,215.0,{'dr7': ['A']},[0],dr7,0.0,,,
survey-multi-select,20,17914,0.0-9.0-4.0-0.7,UzsrTzrbCIVVVLAoKOGQ,all,,89KJN1eukMrlU68egszjilu8at,0Jabq26O2shmP2nOZs8fwGudQr,admc_dr_trial,,,,,,,1780.0,1306.0,1080.0,,,,,,,,,,,,,False,238.0,"{'dr8': ['A', 'B']}",[0],dr8,1.0,,,
survey-multi-select,21,20547,0.0-9.0-4.0-0.8,UzsrTzrbCIVVVLAoKOGQ,all,,89KJN1eukMrlU68egszjilu8at,0Jabq26O2shmP2nOZs8fwGudQr,admc_dr_trial,,,,,,,2627.0,1306.0,1080.0,,,,,,,,,,,,,False,273.0,"{'dr9': ['A', 'B', 'C']}",[0],dr9,1.0,,,
survey-multi-select,22,22796,0.0-9.0-4.0-0.9,UzsrTzrbCIVVVLAoKOGQ,all,,89KJN1eukMrlU68egszjilu8at,0Jabq26O2shmP2nOZs8fwGudQr,admc_dr_trial,,,,,,,2239.0,1306.0,1080.0,,,,,,,,,,,,,False,312.0,"{'dr10': ['A', 'B', 'C']}",[0],dr10,1.0,,,
call-function,23,22799,0.0-9.0-5.0,UzsrTzrbCIVVVLAoKOGQ,all,,89KJN1eukMrlU68egszjilu8at,0Jabq26O2shmP2nOZs8fwGudQr,,,,,,,,,1306.0,1080.0,,,,,,,,,,,,,,,,,,,,,
html-button-response,24,25707,0.0-9.0-6.0,UzsrTzrbCIVVVLAoKOGQ,all,,89KJN1eukMrlU68egszjilu8at,0Jabq26O2shmP2nOZs8fwGudQr,feedback_ADMC Decision Rules,,,,,,,2907.0,1306.0,1080.0,,,,,,,,,,,,,,,1234,,,,"
                    <p class=""instructions-title"">Feedback?</p>
                    <p>If something went wrong during the last task or you think we can improve it, please leave any and all comments you have here.</p>
                    <div style=""margin-bottom: 3vh"">
                        <textarea id=""task_feedback"" style=""width: 50vw; height: 15vh;""></textarea>
                    </div>
                ",,
call-function,25,25710,0.0-9.0-7.0,UzsrTzrbCIVVVLAoKOGQ,all,,89KJN1eukMrlU68egszjilu8at,0Jabq26O2shmP2nOZs8fwGudQr,,,,,,,,,1306.0,1080.0,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,26,25710,0.0-9.0-9.0,UzsrTzrbCIVVVLAoKOGQ,all,,89KJN1eukMrlU68egszjilu8at,0Jabq26O2shmP2nOZs8fwGudQr,async_data_save,,,,ADMC Decision Rules__completed,2.0,,,1306.0,1080.0,,,,,,,,,,,,,,,,,,,,,
call-function,0,6,0.0-0.0,UzsrTzrbCIVVVLAoKOGQ,all,,89KJN1eukMrlU68egszjilu8at,qPbHZJKjPB6kpzVvxPBSvq2wjM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,1,800,0.0-1.0,UzsrTzrbCIVVVLAoKOGQ,all,,89KJN1eukMrlU68egszjilu8at,qPbHZJKjPB6kpzVvxPBSvq2wjM,browser_check,,,,,,,,,,1306.0,927.0,True,firefox,124.0.0,False,Windows 10,True,76.05,False,False,,,,,,,,,,
call-function,2,800,0.0-2.0,UzsrTzrbCIVVVLAoKOGQ,all,,89KJN1eukMrlU68egszjilu8at,qPbHZJKjPB6kpzVvxPBSvq2wjM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
