trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_shipley_vocab,task_admc_rc1,task_shipley_abstraction,task_graph_literacy,task_time_series,task_impossible_question,task_admc_a2,task_admc_rp,task_bayesian_update_easy,task_bayesian_update_hard,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_leapfrog,task_coherence_forecasting,custom_timer_ended_trial,interval_id,response,question_order,shipley_vocabulary_score,stimulus,slider_start,slider_moved,admc_id,admc_response,shipley_abstraction_score,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q13,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,moved_sliders,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,cfs_id,cfs_response
call-function,10,86882,0.0-11.0-3.0,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,11,101530,0.0-11.0-4.0,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,"[{'page_index': 0, 'viewing_time': 14647}]",14647.0,,,,,,,,,,,,time_series_pt_trials_instructions,,,,,,,,,,,,,,,,,,,False,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,12,122551,0.0-11.0-5.0-0.0-0.0,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,True,5.0,,,,,,,,,,,,,,,,,,,,"[321.52241594559865, 307.83711238207815, 303.15788627396483, 306.6903008629987, 293.4063205051548, 299.1100291170084, 288.679003089744, 281.6549015704302, 263.3463135522739, 266.5040391065624, 264.1015046186077, 262.2914113963542, 263.47180808852124, 241.3425032635897, 244.27194840666147, 243.71121800179012, 238.07060858579615, 243.2334407904206, 224.38066769101366, 245.33777454596824, 219.6467136953607, 217.3893137687734, 218.52079370579037, 213.60584656372865, 203.79923843154648, 188.6497507031543, 210.82232742241393, 206.11403678083568, 189.56830225532738, 189.756256796262, '180.52', '178.50', '189.61']",470.6,True,0.0,0.0,linear,negative,low,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,13,143575,0.0-11.0-5.0-0.0-0.1,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,True,6.0,,,,,,,,,,,,,,,,,,,,"[169.39184510171071, 166.38162941910105, 164.8443950866324, 179.39457450345785, 182.94829227381925, 188.56628095284358, 179.48046943035808, 203.99738592564754, 180.787757860476, 204.7812105385282, 209.66046054800643, 198.44271249394, 216.29132491193903, 203.52377714915394, 216.64859775994225, 239.3831723913621, 241.99572434151196, 240.49807806727586, 247.07399962134852, 239.51001014681523, 244.75948703036667, 250.57226986076193, 250.22497749643122, 268.0344263832534, 273.0658990548857, 260.6860048941377, 279.96104962207073, 288.6558628842798, 277.00765202351755, 283.9063332305659, '261.38', '308.88', '303.83', '330.11', '321.01', '340.21']",470.6,True,0.0,1.0,linear,positive,low,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,14,160390,0.0-11.0-5.0-0.0-0.2,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,16811.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,7.0,0,,,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,"[294.07518871207037, 288.14017965786616, 264.11639683819527, 279.59272436853695, 264.11720317360727, 249.5261746165585, 240.36500803089683, 225.16721389075707, 233.06157217959296, 223.42421913167507, '233.08', '212.86', '178.50', '182.54', '172.43', '151.21']",470.6,True,0.0,2.0,linear,negative,low,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,15,181004,0.0-11.0-5.0-0.0-0.3,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,20611.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,8.0,0,,,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,"[416.76191022111095, 382.8031729211396, 338.7536552546552, 400.29347364325776, 392.267166545199, 379.8594519724001, 428.3553821727087, 381.2565181406375, 428.7622387440376, 372.8743683465115, 366.33131571495676, 391.85209530749216, 399.5053821147263, 359.15821097444433, 387.95966269286055, 411.66240947443265, 389.70282855253856, 368.7749656415436, 387.45637170060286, 330.77175676770645, 364.2171053804098, 350.89513495630433, 360.59520937193014, 375.1330359523744, 361.70787369862404, 309.4019754230265, 325.28299529231793, 321.7087474146416, 258.1330392147892, 267.6883153995467, '231.05', '257.33', '239.14', '257.33', '191.64', '216.90']",470.6,True,0.0,3.0,exponential,negative,high,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,16,187319,0.0-11.0-6.0,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,"[{'page_index': 0, 'viewing_time': 6312}]",6313.0,,,,,,,,,,,,time_series_test_trials_instructions,,,,,,,,,,,,,,,,,,,False,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,17,201735,0.0-11.0-7.0-0.0-0.0,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,14414.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,10.0,0,,,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,"[83.05060133897318, 75.47897343882087, 69.54892242349601, 83.53544443520093, 81.53095873795789, 81.41982035805354, 76.68570544479839, 82.37841177978726, 93.2399719787266, 88.97445677231828, 81.192434745481, 102.74164740700073, 94.40991206200185, 101.5038792156218, 95.16216672999158, 94.5676015276771, 103.52893821774994, 83.334896180267, 96.63165081079997, 101.82791394341244, 107.1392332177007, 103.56033799630708, 119.88183364326645, 125.87299657330666, 127.25869095367216, 146.03740577136452, 157.41448910641674, 159.30233198897724, 170.194106120163, 190.17134274421937, '187.59', '205.79', '201.74', '223.98', '229.03', '242.17']",470.6,False,0.0,0.0,exponential,positive,low,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,18,217302,0.0-11.0-7.0-0.0-0.1,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,15562.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,11.0,0,,,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,"[286.4912127064132, 292.10935103556454, 296.93735926303344, 279.61330819020793, 264.8126957234858, 257.51366568568454, 237.08402760651373, 220.03739158569527, 226.43026381443062, 206.86858500059603, '186.58', '198.71', '161.31', '172.43', '159.29', '130.99']",470.6,False,0.0,1.0,linear,negative,low,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,19,238329,0.0-11.0-7.0-0.0-0.2,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,True,12.0,,,,,,,,,,,,,,,,,,,,"[159.08714489207205, 156.72194008775872, 164.66597058197772, 187.25909410699185, 167.3873727301579, 163.84727044332897, 190.15386110193634, 181.60913934854642, 197.28519335885403, 224.27569304137612, 201.61324458481005, 205.32193652807064, 222.27250903814775, 213.08783995942397, 211.59429733612873, 233.4556732730088, 232.0968649341496, 240.84314164393342, 242.66331318383322, 262.8569420351596, 252.15906858382232, 255.02985226233147, 260.8694784498844, 265.22781854544604, 267.3621965988547, 264.20447173475645, 277.8826953273555, 265.55773048321527, 278.69759315301076, 301.10770643237333, '299.79', '313.94', '307.87', '332.13', '308.88', '330.11']",470.6,False,0.0,2.0,linear,positive,low,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,20,259363,0.0-11.0-7.0-0.0-0.3,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,True,13.0,,,,,,,,,,,,,,,,,,,,"[324.0468276960161, 306.0235497202415, 299.65344131307455, 300.136915597755, 302.008839762222, 296.2933519242675, 285.4568530920505, 273.21667750579803, 271.75492782516005, 260.3438983808596, 255.45057244430302, 262.18106345394546, 257.0197268465169, 256.4285792431087, 248.8364258774444, 265.91055263173934, 234.38334366048514, 236.8810292401038, 230.0364624414141, 226.29248790648867, 237.10071722319077, 212.7816882859382, 217.38047115906812, 210.8839067863486, 207.1643414062072, 187.02626747795884, 188.6411601879531, 187.48055888015173, 179.34066886461554, 177.24867168558757, '179.51', '173.44', '177.49', '167.38', '193.66', '166.37']",470.6,False,0.0,3.0,linear,negative,low,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,21,280382,0.0-11.0-7.0-0.0-0.4,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,True,14.0,,,,,,,,,,,,,,,,,,,,"[59.02323971586698, 107.60841101881938, 122.90474407028194, 80.48246364689551, 109.74586999634063, 44.39017372587098, 112.08322655675454, 69.84746848943631, 72.27895323299575, 85.32553693802407, 73.83648058711412, 121.30959218863978, 135.08399749736006, 62.70922440932927, 98.71339312112424, 75.0514832562788, 77.18349345736495, 52.83916242923392, 125.13324024143758, 132.41090591052318, 37.85119591074404, 100.07710259551988, 105.75252312724967, 65.87530616365318, 119.76649508131489, 113.679463133722, 174.82810013851835, 126.28469140885805, 211.2686886425434, 191.59785259561926, '213.87', '187.59', '215.89', '215.89', '240.15', '276.54']",470.6,False,0.0,4.0,exponential,positive,high,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,22,290810,0.0-11.0-7.0-0.0-0.5,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,10424.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,15.0,0,,,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,"[401.28941492308206, 331.1377784785504, 407.15106971535806, 388.85018297707387, 372.2475657036029, 367.9022647169388, 438.7484277472959, 406.96193027211297, 384.08648793712973, 368.3981670879211, 408.3933065485467, 382.57462222666805, 349.13110071048584, 379.5562284881574, 386.6638074329412, 413.18511216306683, 363.9826522883033, 421.1082777858644, 378.01944860580886, 335.0101643895826, 375.7306586404229, 360.09056470984467, 357.2177570801485, 322.4781638987537, 364.7582611335457, 284.20787387132924, 328.14727914337135, 312.7269307773345, 334.4046727836308, 248.406284623321, '263.40', '249.25', '258.34', '202.75', '231.05', '203.76']",470.6,False,0.0,5.0,exponential,negative,high,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,23,311832,0.0-11.0-7.0-0.0-0.6,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,True,16.0,,,,,,,,,,,,,,,,,,,,"[296.54573730786825, 311.2126167389268, 312.07124857354813, 276.37460505098784, 261.0629021932358, 268.0399835590483, 218.76250519484722, 194.62097859823353, 191.75581411518607, 217.45130484943945, '260.37', '231.05', '173.44', '168.39', '180.52', '219.94']",470.6,False,0.0,6.0,linear,negative,high,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,24,332851,0.0-11.0-7.0-0.0-0.7,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,True,17.0,,,,,,,,,,,,,,,,,,,,"[401.0040897861199, 379.1268676218648, 380.89905902225905, 386.85880170727825, 401.73596314272396, 401.186655439747, 370.70487880474013, 387.73961252318185, 395.90683127417475, 391.0633374664287, 381.65596871152604, 373.1663950248719, 385.3750428750691, 391.2339924760481, 383.27720100924284, 383.4127995813242, 374.7220917918025, 378.0487262484426, 363.51286964755144, 384.6034600670585, 364.6789986802171, 361.5059878726037, 339.68201753811263, 360.2519477393242, 339.12444541377556, 332.6542776003365, 324.94941731830426, 328.19130928209165, 301.7713281258364, 270.79372203933883, '274.52', '257.33', '267.44', '271.48', '291.70', '278.56']",470.6,False,0.0,7.0,exponential,negative,low,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,25,353876,0.0-11.0-7.0-0.0-0.8,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,True,18.0,,,,,,,,,,,,,,,,,,,,"[28.545784987933615, 103.87036292194429, 78.53438229480217, 133.33451806288417, 16.130377627135974, 40.3508242526962, 126.69874581226598, 81.71619645431906, 135.5157560536024, 122.75913537843613, '189.61', '80.45', '116.84', '213.87', '179.51', '215.89']",470.6,False,0.0,8.0,exponential,positive,high,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,26,374900,0.0-11.0-7.0-0.0-0.9,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,True,19.0,,,,,,,,,,,,,,,,,,,,"[76.83900616507283, 84.32979686891136, 94.527791512131, 78.0942638530562, 72.84949348001604, 106.96543853680899, 97.09312081217467, 114.86375153109476, 104.66102113296967, 97.29396249029917, '125.94', '148.17', '117.85', '104.71', '129.98', '130.99']",470.6,False,0.0,9.0,exponential,positive,low,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,27,395919,0.0-11.0-7.0-0.0-0.10,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,True,20.0,,,,,,,,,,,,,,,,,,,,"[184.03528256244624, 235.38165649567898, 175.07954304398942, 198.56333364331445, 204.8985187961444, 244.73815370716642, 196.28701041033182, 190.60969176951042, 261.7217094810222, 233.43091343228636, '256.32', '272.50', '241.16', '270.47', '237.12', '206.80']",470.6,False,0.0,10.0,linear,positive,high,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,28,415147,0.0-11.0-7.0-0.0-0.11,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,16945.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,21.0,0,,,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,"[160.54823124552257, 177.19953405564394, 193.64430845103442, 193.749353402616, 199.78302344111606, 223.69078429241125, 223.50371271752084, 234.3965217832101, 242.06455056526602, 248.7645409766303, '223.98', '243.18', '250.26', '250.26', '224.99', '236.11']",470.6,False,0.0,11.0,linear,positive,low,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,29,432159,0.0-11.0-7.0-0.0-0.12,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,17010.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,22.0,0,,,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,"[195.89221468241456, 117.96177994184237, 179.37224689907657, 164.50412790443968, 240.07830806413594, 159.84483710831896, 189.17805927971483, 170.56251821190088, 177.21042807869952, 216.18486478849633, 244.63471982718943, 191.07779028547137, 220.45037939628386, 277.5334087112895, 211.94494389095522, 242.74240597852676, 251.1183842027638, 210.7866001039493, 212.18456279894582, 278.47657187589544, 230.67562616614302, 257.72855146571044, 296.8486393982126, 279.0711064957031, 251.87824607057902, 281.8073638148543, 308.1111615204538, 242.14909185148719, 248.38741934188096, 350.5909821021758, '323.03', '315.96', '376.60', '328.09', '310.90', '356.39']",470.6,False,0.0,12.0,linear,positive,high,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,30,449962,0.0-11.0-7.0-0.0-0.13,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,17799.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,23.0,0,,,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,"[339.47933744152886, 378.20863356127956, 381.36640043322507, 403.82253560698877, 374.40267211895195, 397.5930332317979, 381.8001837185238, 383.85597497196096, 396.333461725426, 324.22593100893727, '348.30', '310.90', '372.56', '330.11', '307.87', '331.12']",470.6,False,0.0,13.0,exponential,negative,high,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,31,470987,0.0-11.0-7.0-0.0-0.14,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,True,24.0,,,,,,,,,,,,,,,,,,,,"[395.4202758170266, 383.74578829367863, 395.8686114519338, 413.33087926972473, 387.15961023976826, 399.0381465850534, 380.1080359962231, 378.40887011160146, 365.41737950597064, 352.4728938776807, '365.48', '332.13', '348.30', '352.34', '385.70']",470.6,False,0.0,14.0,exponential,negative,low,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,32,482342,0.0-11.0-7.0-0.0-0.15,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,11351.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,25.0,0,,,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,"[346.32617265334903, 298.8944061888159, 285.941045161485, 365.8369282420662, 239.19928057675946, 311.26771657099295, 287.70834557924184, 224.0138517028041, 281.401501738217, 245.60653197766277, 234.76878204317453, 287.23479503640317, 239.44191443217426, 205.99188270382905, 265.37690856632275, 239.9712036834682, 238.09541265127925, 215.76851003148604, 232.8305193778094, 240.1764622252101, 183.7041728633353, 219.88047220909007, 185.16190597208094, 207.26879739250776, 196.4805735900288, 181.3658262000312, 219.27724280600896, 174.60115613796714, 167.99926238333, 186.21159492394347, '214.88', '196.69', '213.87', '236.11', '200.73', '171.42']",470.6,False,0.0,15.0,linear,negative,high,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,33,482344,0.0-11.0-8.0,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,34,482345,0.0-11.0-9.0,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,35,482350,0.0-11.0-11.0,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,,,,,,,,,,,,,async_data_save,,Time series__completed,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,36,482504,0.0-13.0-1.0,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,37,511326,0.0-13.0-2.0,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,"[{'page_index': 0, 'viewing_time': 28819}]",28820.0,,,,,,,,,,,,iqc_general_instructions,,,,,,,,,,,,,,,,,,,False,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,38,511328,0.0-13.0-3.0,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,39,523099,0.0-13.0-4.0-0.0-0.0,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,11768.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,,False,28.0,"{'GK_69': '2', 'GK_69_slider': '80'}",,,,,True,,,,,,,,,,,,,,,,False,0.0,0.0,,,,,2.0,80.0,GK_69,Which is the smallest independent country?,Monaco,Vatican City,2.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,40,526387,0.0-13.0-4.0-0.0-1.0,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,3283.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,,False,29.0,0,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 1/30 questions completed. 100% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,41,547418,0.0-13.0-4.0-0.0-0.1,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,21028.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,,True,30.0,"{'GK_79': '1', 'GK_79_slider': '80'}",,,,,True,,,,,,,,,,,,,,,,False,0.0,1.0,,,,,1.0,80.0,GK_79,Which one of the below is not a correct possible solution for x. | x - 9 | <  10.,-4,4,1.0,anchor,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,42,558430,0.0-13.0-4.0-0.0-1.1,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,,True,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,43,568979,0.0-13.0-4.0-0.0-0.2,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,10452.0,,,,,,,,,,,,iqc_test_trial,,,,,,,,,,,,,,,,,,,False,32.0,"{'IQ_3': '2', 'IQ_3_slider': '56'}",,,,,True,,,,,,,,,,,,,,,,False,0.0,2.0,,,,,2.0,56.0,IQ_3,What is the population of Synomle?,"More than 10,000","Less than 10,000",3.0,anchor,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,44,572638,0.0-13.0-4.0-0.0-1.2,gQ384WTSO49KZ6AEfgIc,223301,3,10tlI903HUKYLkvo2NxFcGvebs,dModGjg3PfPpDj8CnX3cmeJVSI,,,,3657.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,,,,,,,,,,,,,,,,False,33.0,0,,,"<p>Your answer was <span style=""color: red""><b>incorrect</b></span>.</p><p>Progress: 3/30 questions completed. 67% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
