trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_rc2,task_leapfrog,task_time_series,task_admc_a1,task_impossible_question,task_cognitive_reflection,task_bayesian_update_easy,task_bayesian_update_hard,task_number_series,task_raven_matrix,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_dr,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,pt_trial,block,trial,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,y_axis_values,chart_height,func,direction,noise_condition,datapoints,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,question_order,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,ns_id,ns_response,list_id,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn
html-keyboard-response,152,329592,0.0-9.0-5.0-6.0-0.0,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,1232.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowright,,,,True,3.0,60.0,130.0,120.0,120.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,153,330602,0.0-9.0-5.0-6.0-1.0,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>120</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,154,331002,0.0-9.0-5.0-6.0-0.1,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,400.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowleft,,,,True,3.0,61.0,130.0,120.0,130.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,155,332012,0.0-9.0-5.0-6.0-1.1,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>130</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,156,332643,0.0-9.0-5.0-6.0-0.2,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,631.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowleft,,,,True,3.0,62.0,130.0,120.0,130.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,157,333652,0.0-9.0-5.0-6.0-1.2,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>130</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,158,334175,0.0-9.0-5.0-6.0-0.3,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,523.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowleft,,,,True,3.0,63.0,130.0,120.0,130.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,159,335179,0.0-9.0-5.0-6.0-1.3,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>130</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,160,335826,0.0-9.0-5.0-6.0-0.4,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,646.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowleft,,,,True,3.0,64.0,130.0,140.0,130.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,161,336829,0.0-9.0-5.0-6.0-1.4,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>130</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,162,337390,0.0-9.0-5.0-6.0-0.5,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,560.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowright,,,,True,3.0,65.0,130.0,140.0,140.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,163,338395,0.0-9.0-5.0-6.0-1.5,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>140</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,164,339305,0.0-9.0-5.0-6.0-0.6,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,910.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowright,,,,True,3.0,66.0,130.0,140.0,140.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,165,340310,0.0-9.0-5.0-6.0-1.6,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>140</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,166,340764,0.0-9.0-5.0-6.0-0.7,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,445.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowright,,,,True,3.0,67.0,130.0,140.0,140.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,167,341776,0.0-9.0-5.0-6.0-1.7,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>140</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,168,342130,0.0-9.0-5.0-6.0-0.8,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,353.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowleft,,,,True,3.0,68.0,130.0,140.0,130.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,169,343137,0.0-9.0-5.0-6.0-1.8,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>130</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,170,343441,0.0-9.0-5.0-6.0-0.9,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,302.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowright,,,,True,3.0,69.0,130.0,140.0,140.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,171,344458,0.0-9.0-5.0-6.0-1.9,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>140</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,172,344716,0.0-9.0-5.0-6.0-0.10,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,257.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowright,,,,True,3.0,70.0,130.0,140.0,140.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,173,345722,0.0-9.0-5.0-6.0-1.10,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>140</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,174,346108,0.0-9.0-5.0-6.0-0.11,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,385.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowright,,,,True,3.0,71.0,130.0,140.0,140.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,175,347116,0.0-9.0-5.0-6.0-1.11,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>140</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,176,347576,0.0-9.0-5.0-6.0-0.12,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,459.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowright,,,,True,3.0,72.0,130.0,140.0,140.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,177,348581,0.0-9.0-5.0-6.0-1.12,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>140</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,178,349163,0.0-9.0-5.0-6.0-0.13,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,581.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowleft,,,,True,3.0,73.0,130.0,140.0,130.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,179,350173,0.0-9.0-5.0-6.0-1.13,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>130</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,180,350589,0.0-9.0-5.0-6.0-0.14,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,415.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowright,,,,True,3.0,74.0,130.0,140.0,140.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,181,351608,0.0-9.0-5.0-6.0-1.14,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>140</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,182,352327,0.0-9.0-5.0-6.0-0.15,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,719.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowright,,,,True,3.0,75.0,150.0,140.0,140.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,183,353341,0.0-9.0-5.0-6.0-1.15,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>140</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,184,353670,0.0-9.0-5.0-6.0-0.16,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,327.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowright,,,,True,3.0,76.0,150.0,140.0,140.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,185,354680,0.0-9.0-5.0-6.0-1.16,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>140</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,186,355093,0.0-9.0-5.0-6.0-0.17,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,411.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowright,,,,True,3.0,77.0,150.0,140.0,140.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,187,356094,0.0-9.0-5.0-6.0-1.17,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>140</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,188,356382,0.0-9.0-5.0-6.0-0.18,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,287.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowright,,,,True,3.0,78.0,150.0,140.0,140.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,189,357391,0.0-9.0-5.0-6.0-1.18,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>140</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,190,357737,0.0-9.0-5.0-6.0-0.19,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,346.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div>",,arrowleft,,,,True,3.0,79.0,150.0,140.0,150.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,191,358742,0.0-9.0-5.0-6.0-1.19,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>150</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,192,363285,0.0-9.0-6.0-0.0,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,,4541.0,,,,,,,,,,,,leapfrog_pt_trial_interblock_question,,,,,,,,,,,,,,,,,,False,260.0,,,{'prediction': '3'},,,,,,,,,,,99.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,193,375291,0.0-9.0-7.0,C97KNSD7eM6nPKVQs2xx,33ff78,5,KadtogaO5sDowMxjZu9To6Yw0r,a5faTFcXbUVVsymFE57lrf5Ryf,1360.0,765.0,"[{'page_index': 0, 'viewing_time': 11993}]",11994.0,,,,,,,,,,,,leapfrog_test_trials_instructions,,,,,,,,,,,,,,,,,,False,261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
