view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,custom_timer_ended_trial,interval_id,response,question_order,admc_id,admc_response,stimulus,response_choice,response_slider,slider_moved,pt_trial,block,trial,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,slider_start,experiment_parameters,task_admc_dr,task_impossible_question,task_admc_rc2,task_admc_a1,task_leapfrog,task_cognitive_reflection,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_time_series,task_bayesian_update_easy,task_bayesian_update_hard,task_number_series,task_raven_matrix,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,y_axis_values,chart_height,func,direction,noise_condition,datapoints,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,ns_id,ns_response,list_id
,915.0,html-button-response,39,815070,0.0-11.0-4.0-0.0-1.4,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,False,37.0,0,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 5/30 questions completed. 75% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10377.0,survey-html-form,40,825448,0.0-11.0-4.0-0.0-0.5,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,iqc_test_trial,,,,False,38.0,"{'GK_74': '1', 'GK_74_slider': '70'}",,,,,1.0,70.0,True,False,0.0,5.0,GK_74,It is possible for water to exist in liquid form below 0 degrees C (32 degrees F),True,False,1.0,aig_A,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1368.0,html-button-response,41,826818,0.0-11.0-4.0-0.0-1.5,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,False,41.0,0,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 6/30 questions completed. 80% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8538.0,survey-html-form,42,835357,0.0-11.0-4.0-0.0-0.6,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,iqc_test_trial,,,,False,42.0,"{'GK_48': '2', 'GK_48_slider': '62'}",,,,,2.0,62.0,True,False,0.0,6.0,GK_48,All radioactivity is man-made.,True,False,2.0,aig_A,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,980.0,html-button-response,43,836338,0.0-11.0-4.0-0.0-1.6,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,False,45.0,0,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 7/30 questions completed. 83% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7364.0,survey-html-form,44,843704,0.0-11.0-4.0-0.0-0.7,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,iqc_test_trial,,,,False,47.0,"{'GK_49': '2', 'GK_49_slider': '50'}",,,,,2.0,50.0,True,False,0.0,7.0,GK_49,What is the length of an Olympic swimming pool?,80 meters,50 meters,2.0,aig_A,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1309.0,html-button-response,45,845014,0.0-11.0-4.0-0.0-1.7,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,False,58.0,0,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 8/30 questions completed. 86% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10929.0,survey-html-form,46,855944,0.0-11.0-4.0-0.0-0.8,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,iqc_test_trial,,,,False,61.0,"{'GK_43': '2', 'GK_43_slider': '60'}",,,,,2.0,60.0,True,False,0.0,8.0,GK_43,Which happened earlier in history?,Alexander Graham Bell patents the telephone,Charles Darwin publishes 'The Origin of Species',2.0,aig_A,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1066.0,html-button-response,47,857012,0.0-11.0-4.0-0.0-1.8,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,False,63.0,0,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 9/30 questions completed. 88% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5927.0,survey-html-form,48,862941,0.0-11.0-4.0-0.0-0.9,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,iqc_test_trial,,,,False,65.0,"{'GK_27': '1', 'GK_27_slider': '100'}",,,,,1.0,100.0,True,False,0.0,9.0,GK_27,Budapest is the capital of which county?,Hungary,Austria,1.0,aig_A,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,829.0,html-button-response,49,863771,0.0-11.0-4.0-0.0-1.9,c4Vl8k5Mz917NgkI3qRH,33ff78,5,jgWap8QiFYYUKpaMUNSO3A1kNj,Qu15H6JmD71D31vsGjyw0kg63c,1536.0,864.0,,,,,,,,,,,,iqc_test_trial_feedback,,,,False,68.0,0,,,,"<p>Your answer was <span style=""color: green""><b>correct</b></span>.</p><p>Progress: 10/30 questions completed. 89% correct.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
