trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_a2,task_leapfrog,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_shipley_vocab,task_admc_rc1,task_coherence_forecasting,task_bayesian_update_easy,task_bayesian_update_hard,task_graph_literacy,task_impossible_question,task_time_series,task_admc_rp,task_shipley_abstraction,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,pt_trial,block,trial,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,question_order,shipley_vocabulary_score,moved_sliders,cfs_id,cfs_response,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,response_choice,id,question_text,answer_1,answer_2,correct_answer,correct,y_axis_values,chart_height,func,direction,noise_condition,datapoints,shipley_abstraction_score
html-keyboard-response,2,5,0.0-2.0,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,RsZ2FjVVQZZm9w0SVRYHVzMj0D,,,,,,,,,,,,,,,,async_data_save,,experiment__save_session_params,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,7,5000,0.0-7.0-1.0,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,8,7668,0.0-7.0-2.0,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,"[{'page_index': 0, 'viewing_time': 2667}]",2667.0,,,,,,,,,,,,admc_a2_instructions,,,,,,,,,,,,,,,,,,,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,9,7670,0.0-7.0-3.0,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,10,31141,0.0-7.0-4.0-0.0,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,23469.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,,False,4.0,"<p><b>Problem</b></p>
                                <p>As R&D manager, one of your project teams has come to you requesting an additional $100,000 in funds for a project you instituted several months ago. The project is already behind schedule and over budget, but the team still believes it can be successfully completed. You currently have $500,000 remaining in your budget unallocated, but which must carry you for the rest of the fiscal year. Lowering the balance by an additional $100,000 might jeopardize flexibility to respond to other opportunities.</p>
                                <p>Evaluating the situation, you believe there is a fair chance the project will not succeed, in which case the additional funding would be lost; if successful, however, the money would be well spent. You also noticed that of the projects undertaken by this team, 20 of the last 50 have been unsuccessful.</p>
                                <p>What is the likelihood you would fund the request?</p>",1.0,2,True,a2_1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,11,43024,0.0-7.0-4.0-0.1,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,11881.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,,False,5.0,"<p><b>Problem</b></p>
                                <p>Imagine that a woman parked illegally. After talking to her, you believe that there is an 80% chance that she knew she parked illegally</p>
                                <p>With this in mind, how much of a fine do you believe this woman deserves?</p>",1.0,6,True,a2_2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,12,54448,0.0-7.0-4.0-0.2,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,11423.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,,False,6.0,"<p><b>Problem</b></p>
                                <p>In a recent confidential survey completed by graduating seniors, 65% of those completing the survey stated that they had cheated during their college career.</p>
                                <p>Considering the results of the survey, how would you rate the incidence of cheating at your university?</p>",1.0,2,True,a2_3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,13,63749,0.0-7.0-4.0-0.3,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,9299.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,,False,7.0,"<p><b>Problem</b></p>
                                <p>Imagine that a new technique has been developed to treat a particular kind of cancer. This technique has a 50% chance of failure, and is available at the local hospital.</p>
                                <p>A member of your immediate family is a patient at the local hospital with this kind of cancer. How likely are you to encourage him or her to undergo treatment using this technique?</p>",1.0,6,True,a2_4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,14,76540,0.0-7.0-4.0-0.4,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,12790.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,,False,8.0,"<p><b>Problem</b></p>
                                <p>Imagine the following situation. You are entertaining a special friend by inviting them for dinner. You are making your favorite lasagna dish with ground beef. Your roommate goes to the grocery store and purchases a package of ground beef for you. The label says 20% fat ground beef.</p>
                                <p>What's your evaluation of the quality of this ground beef?</p>",1.0,3,True,a2_5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,15,87374,0.0-7.0-4.0-0.5,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,10833.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,,False,9.0,"<p><b>Problem</b></p>
                                <p>Imagine that a type of condom has a 5% failure rate. That is, if you have sex with someone who has the AIDS virus, there is a 5% chance that this type of condom will fail to prevent you from being exposed to the AIDS virus.</p>
                                <p>Should the government allow this type of condom to be advertised as ""an effective method for lowering the risk of AIDS""?</p>",1.0,1,True,a2_6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,16,97178,0.0-7.0-4.0-0.6,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,9802.0,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,,False,10.0,"<p><b>Problem</b></p>
                                <p>Suppose a student got 10% incorrect in the mid-term exam and 30% incorrect in the final-term exam, what would be your evaluations of this student's performance?</p>",1.0,4,True,a2_7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,17,97179,0.0-7.0-5.0,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,18,97180,0.0-7.0-6.0,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,19,97181,0.0-7.0-8.0,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,,,,,,,,,,,,async_data_save,,ADMC Framing A2__completed,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,20,97185,0.0-9.0-0.0-0.0,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,21,97337,0.0-9.0-1.0,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,22,116260,0.0-9.0-2.0,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,"[{'page_index': 0, 'viewing_time': 5701}, {'page_index': 1, 'viewing_time': 13222}]",18923.0,,,,,,,,,,,,leapfrog_instructions,,,,,,,,,,,,,,,,,,,False,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,23,116261,0.0-9.0-3.0,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,24,127868,0.0-9.0-4.0,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,"[{'page_index': 0, 'viewing_time': 11607}]",11607.0,,,,,,,,,,,,leapfrog_practice_trials_instructions,,,,,,,,,,,,,,,,,,,False,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,25,129371,0.0-9.0-5.0-0.0-0.0,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>20 points</div>
                                <div>10 points</div>
                            </div>",,,,,,True,0.0,0.0,20.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,26,130373,0.0-9.0-5.0-0.0-1.0,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: red;"">X<br><br>TOO SLOW</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,27,131313,0.0-9.0-5.0-0.0-0.1,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,939.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>20 points</div>
                                <div>10 points</div>
                            </div>",,arrowright,,,,True,0.0,1.0,20.0,10.0,10.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,28,132315,0.0-9.0-5.0-0.0-1.1,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>10</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,29,133235,0.0-9.0-5.0-0.0-0.2,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,919.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>20 points</div>
                                <div>10 points</div>
                            </div>",,arrowright,,,,True,0.0,2.0,20.0,10.0,10.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,30,134236,0.0-9.0-5.0-0.0-1.2,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>10</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,31,135235,0.0-9.0-5.0-0.0-0.3,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,997.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>20 points</div>
                                <div>10 points</div>
                            </div>",,arrowright,,,,True,0.0,3.0,20.0,10.0,10.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,32,136236,0.0-9.0-5.0-0.0-1.3,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>10</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,33,136728,0.0-9.0-5.0-0.0-0.4,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,491.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>20 points</div>
                                <div>10 points</div>
                            </div>",,arrowleft,,,,True,0.0,4.0,20.0,10.0,20.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,34,137730,0.0-9.0-5.0-0.0-1.4,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>20</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,35,138405,0.0-9.0-5.0-0.0-0.5,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,674.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>20 points</div>
                                <div>10 points</div>
                            </div>",,arrowleft,,,,True,0.0,5.0,20.0,10.0,20.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,36,139406,0.0-9.0-5.0-0.0-1.5,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>20</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,37,139840,0.0-9.0-5.0-0.0-0.6,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,434.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>20 points</div>
                                <div>10 points</div>
                            </div>",,arrowright,,,,True,0.0,6.0,20.0,10.0,10.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,38,140843,0.0-9.0-5.0-0.0-1.6,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>10</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,39,141290,0.0-9.0-5.0-0.0-0.7,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,447.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>20 points</div>
                                <div>10 points</div>
                            </div>",,arrowleft,,,,True,0.0,7.0,20.0,10.0,20.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,40,142291,0.0-9.0-5.0-0.0-1.7,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>20</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,41,142890,0.0-9.0-5.0-0.0-0.8,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,598.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>20 points</div>
                                <div>10 points</div>
                            </div>",,arrowleft,,,,True,0.0,8.0,20.0,10.0,20.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,42,143892,0.0-9.0-5.0-0.0-1.8,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>20</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,43,144585,0.0-9.0-5.0-0.0-0.9,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,692.0,,,,,,,,,,,,leapfrog_pt_trial,,,,,,,,,,,,,,,,,,,,,"<div style=""font-size:3em;"">CHOOSE</div>
                        <div id=""leapfrog_options_container"">
                            <div id=""option_A"">OPTION A<br><span>(left arrow)</span></div>
                            <div id=""option_B"">OPTION B<br><span>(right arrow)</span></div>
                        </div><div style=""display: flex; justify-content: space-around; font-size: 1em; margin-top: 1em; font-style: italic"">
                                <div>20 points</div>
                                <div>10 points</div>
                            </div>",,arrowleft,,,,True,0.0,9.0,20.0,10.0,20.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,44,145586,0.0-9.0-5.0-0.0-1.9,i5xo5ENLDqC3CzxAx6X7,223301,3,3QuQzuovE05uq3pSNLWv6OcTL8,oI2qHCBz2hPjP8UmDCwliSBjph,1504.0,1003.0,,,,,,,,,,,,,,leapfrog_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: green;"">You won <b>20</b> points.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
