view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_time_series,task_raven_matrix,task_admc_a1,task_impossible_question,task_cognitive_reflection,task_number_series,task_admc_rc2,task_bayesian_update_easy,task_bayesian_update_hard,task_admc_dr,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_leapfrog,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,question_order,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,ns_id,ns_response,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,list_id,correct_answer,correct,response_choice,response_slider,id,question_text,answer_1,answer_2,aig_version,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction
,,html-keyboard-response,2,3,0.0-2.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,async_data_save,,experiment__save_session_params,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'page_index': 0, 'viewing_time': 9068}]",9072.0,instructions,92,1375142,0.0-8.0-0.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,break_trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,93,1375301,0.0-9.0-1.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'page_index': 0, 'viewing_time': 11426}]",11427.0,instructions,94,1386728,0.0-9.0-2.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,admc_a1_instructions,,,,,,,,,,,,,,,,,,False,13734.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,95,1386731,0.0-9.0-3.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22156.0,html-slider-response,96,1408895,0.0-9.0-4.0-0.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,13747.0,"<p><b>Problem</b></p>
                                <p>Imagine that a type of condom has a 95% success rate. That is, if you have sex with someone who has the AIDS virus, there is a 95% chance that this type of condom will prevent you from being exposed to the AIDS virus.</p>
                                <p>Should the government allow this type of condom to be advertised as ""an effective method for lowering the risk of AIDS""?</p>",1.0,6,True,a1_1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26015.0,html-slider-response,97,1434916,0.0-9.0-4.0-0.1,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,13922.0,"<p><b>Problem</b></p>
                                <p>Imagine the following situation. You are entertaining a special friend by inviting them for dinner. You are making your favorite lasagna dish with ground beef. Your roommate goes to the grocery store and purchases a package of ground beef for you. The label says 80% lean ground beef.</p>
                                <p>What's your evaluation of the quality of this ground beef?</p>",1.0,5,True,a1_2,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26869.0,html-slider-response,98,1461787,0.0-9.0-4.0-0.2,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,14094.0,"<p><b>Problem</b></p>
                                <p>In a recent confidential survey completed by graduating seniors, 35% of those completing the survey stated that they had never cheated during their college career.</p>
                                <p>Considering the results of the survey, how would you rate the incidence of cheating at your university?</p>",1.0,2,True,a1_3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40091.0,html-slider-response,99,1501886,0.0-9.0-4.0-0.3,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,14208.0,"<p><b>Problem</b></p>
                                <p>As R&D manager, one of your project teams has come to you requesting an additional $100,000 in funds for a project you instituted several months ago. The project is already behind schedule and over budget, but the team still believes it can be successfully completed. You currently have $500,000 remaining in your budget unallocated, but which must carry you for the rest of the fiscal year. Lowering the balance by an additional $100,000 might jeopardize flexibility to respond to other opportunities.</p>
                                <p>Evaluating the situation, you believe there is a fair chance the project will not succeed, in which case the additional funding would be lost; if successful, however, the money would be well spent. You also noticed that of the projects undertaken by this team, 30 of the last 50 have been successful.</p>
                                <p>What is the likelihood you would fund the request?</p>",1.0,2,True,a1_4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21721.0,html-slider-response,100,1523614,0.0-9.0-4.0-0.4,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,14284.0,"<p><b>Problem</b></p>
                                <p>Suppose a student got 90% correct in the mid-term exam and 70% correct in the final-term exam, what would be your evaluations of this student's performance?</p>",1.0,4,True,a1_5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22087.0,html-slider-response,101,1545706,0.0-9.0-4.0-0.5,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,14454.0,"<p><b>Problem</b></p>
                                <p>Imagine that a woman parked illegally. After talking to her, you believe that there is a 20% chance that she did not know she parked illegally.</p>
                                <p>With this in mind, how much of a fine do you believe this woman deserves?</p>",1.0,5,True,a1_6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19275.0,html-slider-response,102,1564985,0.0-9.0-4.0-0.6,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,14587.0,"<p><b>Problem</b></p>
                                <p>Imagine that a new technique has been developed to treat a particular kind of cancer. This technique has a 50% chance of success, and is available at the local hospital.</p>
                                <p>A member of your immediate family is a patient at the local hospital with this kind of cancer. Would you encourage him or her to undergo treatment using this technique?</p>",1.0,4,True,a1_7,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,103,1564989,0.0-9.0-5.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4594.0,html-button-response,104,1569586,0.0-9.0-6.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,feedback_ADMC Framing A1,,,,,,,,,,,,,,,,,,,,"
                    <p class=""instructions-title"">Feedback?</p>
                    <p>If something went wrong during the last task or you think we can improve it, please leave any and all comments you have here.</p>
                    <div style=""margin-bottom: 3vh"">
                        <textarea id=""task_feedback"" style=""width: 50vw; height: 15vh;""></textarea>
                    </div>
                ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,105,1569588,0.0-9.0-7.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,106,1569595,0.0-9.0-9.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,async_data_save,,ADMC Framing A1__completed,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,174,2085126,0.0-13.0-1.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,175,2085126,0.0-13.0-2.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,175649.0,survey-multi-choice,176,2260779,0.0-13.0-3.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,cognitive_reflection_test_trial,,,,,,,,,,,,,,,,,,False,21381.0,,,"{'crt_1': '10 cents', 'crt_2': '100 minutes', 'crt_3': '24 days', 'crt_4': '3 days', 'crt_5': '30 students', 'crt_6': '10 dollars', 'crt_7': 'has lost money.'}",,,,"[0, 1, 2, 3, 4, 5, 6]",10 cents,100 minutes,24 days,3 days,30 students,10 dollars,has lost money.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,177,2260791,0.0-13.0-4.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932.0,html-button-response,178,2264726,0.0-13.0-5.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,feedback_Cognitive Reflection,,,,,,,,,,,,,,,,,,,,"
                    <p class=""instructions-title"">Feedback?</p>
                    <p>If something went wrong during the last task or you think we can improve it, please leave any and all comments you have here.</p>
                    <div style=""margin-bottom: 3vh"">
                        <textarea id=""task_feedback"" style=""width: 50vw; height: 15vh;""></textarea>
                    </div>
                ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,179,2264727,0.0-13.0-6.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,180,2264734,0.0-13.0-8.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,async_data_save,,Cognitive Reflection__completed,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,181,2264897,0.0-15.0-1.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'page_index': 0, 'viewing_time': 33227}]",33227.0,instructions,182,2298127,0.0-15.0-2.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,number_series_instructions,,,,,,,,,,,,,,,,,,False,22235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,183,2298131,0.0-15.0-3.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19578.0,survey-text,184,2317726,0.0-15.0-4.0-0.0-0.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,number_series_test_trial,,,,,,,,,,,,,,,,,,False,22299.0,,,{'NS_1': '-2'},,,,,,,,,,,,NS_1,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31007.0,survey-text,185,2348737,0.0-15.0-4.0-0.0-0.1,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,number_series_test_trial,,,,,,,,,,,,,,,,,,True,22420.0,,,{'NS_2': ''},,,,,,,,,,,,NS_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31003.0,survey-text,186,2379744,0.0-15.0-4.0-0.0-0.2,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,number_series_test_trial,,,,,,,,,,,,,,,,,,True,22445.0,,,{'NS_3': ''},,,,,,,,,,,,NS_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16212.0,survey-text,187,2395963,0.0-15.0-4.0-0.0-0.3,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,number_series_test_trial,,,,,,,,,,,,,,,,,,False,22451.0,,,{'NS_4': '29'},,,,,,,,,,,,NS_4,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31004.0,survey-text,188,2426975,0.0-15.0-4.0-0.0-0.4,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,number_series_test_trial,,,,,,,,,,,,,,,,,,True,22476.0,,,{'NS_5': '2'},,,,,,,,,,,,NS_5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31015.0,survey-text,189,2457995,0.0-15.0-4.0-0.0-0.5,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,number_series_test_trial,,,,,,,,,,,,,,,,,,True,22519.0,,,{'NS_6': ''},,,,,,,,,,,,NS_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29722.0,survey-text,190,2487722,0.0-15.0-4.0-0.0-0.6,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,number_series_test_trial,,,,,,,,,,,,,,,,,,False,22523.0,,,{'NS_7': '2'},,,,,,,,,,,,NS_7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31009.0,survey-text,191,2518735,0.0-15.0-4.0-0.0-0.7,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,number_series_test_trial,,,,,,,,,,,,,,,,,,True,22531.0,,,{'NS_8': '889'},,,,,,,,,,,,NS_8,889.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21138.0,survey-text,192,2539877,0.0-15.0-4.0-0.0-0.8,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,number_series_test_trial,,,,,,,,,,,,,,,,,,False,22537.0,,,{'NS_9': '10/24'},,,,,,,,,,,,NS_9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,193,2539879,0.0-15.0-5.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6722.0,html-button-response,194,2546603,0.0-15.0-6.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,feedback_Number Series,,,,,,,,,,,,,,,,,,,,"
                    <p class=""instructions-title"">Feedback?</p>
                    <p>If something went wrong during the last task or you think we can improve it, please leave any and all comments you have here.</p>
                    <div style=""margin-bottom: 3vh"">
                        <textarea id=""task_feedback"" style=""width: 50vw; height: 15vh;""></textarea>
                    </div>
                ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,195,2546604,0.0-15.0-7.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,196,2546607,0.0-15.0-9.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,leBCSRYegtZdHmXiv0TVZTz0MA,,,,,,,,,,,,,,async_data_save,,Number Series__completed,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,0,4,0.0-0.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,N7E9CajptxpCIe6GfC51RTLZbx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,browser-check,1,1000,0.0-1.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,N7E9CajptxpCIe6GfC51RTLZbx,,,1434.0,792.0,True,edge-chromium,123.0.0,False,Windows 10,True,61.33,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,2,1000,0.0-2.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,N7E9CajptxpCIe6GfC51RTLZbx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,3,1001,0.0-3.0-0.0-0.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,N7E9CajptxpCIe6GfC51RTLZbx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,4,1166,0.0-3.0-1.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,N7E9CajptxpCIe6GfC51RTLZbx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'page_index': 0, 'viewing_time': 13371}, {'page_index': 1, 'viewing_time': 84242}]",97614.0,instructions,5,98783,0.0-3.0-2.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,N7E9CajptxpCIe6GfC51RTLZbx,,,,,,,,,,,,,,time_series_general_instructions,,,,,,,,,,,,,,,,,,False,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,6,98803,0.0-3.0-3.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,N7E9CajptxpCIe6GfC51RTLZbx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'page_index': 0, 'viewing_time': 3071}]",3071.0,instructions,7,101875,0.0-3.0-4.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,N7E9CajptxpCIe6GfC51RTLZbx,,,,,,,,,,,,,,time_series_pt_trials_instructions,,,,,,,,,,,,,,,,,,False,574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14478.0,html-button-response,8,116360,0.0-3.0-5.0-0.0-0.0,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,N7E9CajptxpCIe6GfC51RTLZbx,,,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,622.0,"<canvas id=""myChart""></canvas>",,0,,,,,,,,,,,,,,"[406.13058373002656, 432.5294938656278, 399.34075433866263, 368.7809204434791, 437.587157380736, 483.1685356333784, 412.2575633833581, 426.3372413395299, 439.21405137015137, 408.8745590885975, 509.3510200069657, 412.0546199246906, 412.75671514039584, 407.10445803775985, 420.68915006812307, 421.84479858057466, 367.35941155041553, 450.9917739682354, 356.75788288051604, 387.62793697763493, 398.1263108112654, 337.26900052705923, 417.37183553341987, 309.9643561440303, 316.92065762057064, 362.4696582581902, 357.13118034825834, 379.70061942048403, 318.36398591335586, 359.43667960424966, '367.09', '388.29', '412.52', '412.52', '396.37', '385.27']",525.6,True,0.0,0.0,exponential,negative,high,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14226.0,html-button-response,9,130602,0.0-3.0-5.0-0.0-0.1,NS80TKIsEEKLQYESGAtd,33ff78,5,gMXhEF3bCS0R9oYzjN1TJhON91,N7E9CajptxpCIe6GfC51RTLZbx,,,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,917.0,"<canvas id=""myChart""></canvas>",,0,,,,,,,,,,,,,,"[371.9451891618878, 346.5358181770774, 351.43985035302774, 340.32177293789255, 219.4374219850704, 352.84794060758276, 330.1398560965268, 304.12413014756294, 221.35997702508342, 262.5836823700014, '296.42', '306.52', '344.88', '389.30', '351.95', '318.63']",525.6,True,0.0,1.0,linear,negative,high,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
