trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_rp,task_admc_rc1,task_bayesian_update_easy,task_bayesian_update_hard,task_coherence_forecasting,task_shipley_vocab,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_shipley_abstraction,task_admc_a2,task_leapfrog,task_impossible_question,task_graph_literacy,task_time_series,custom_timer_ended_trial,interval_id,response,moved_sliders,admc_id,admc_response,stimulus,slider_start,slider_moved,response_slider,pt_trial,block,trial,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,cfs_id,cfs_response,question_order,shipley_vocabulary_score,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,shipley_abstraction_score,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,response_choice,id,question_text,answer_1,answer_2,correct_answer,correct,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q13,y_axis_values,chart_height,func,direction,noise_condition,datapoints
html-keyboard-response,493,3637945,0.0-21.0-7.0-0.0-0.32,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,494,3639310,0.0-21.0-7.0-0.0-1.32,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,1361.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,1814.0,arrowleft,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,,,False,0.0,32.0,,,,,,,,,,,,,,,,B,harmony,both,both,small,large,0.2,0.28,10.0,400.0,2.0,112.0,8.0,288.0,left,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,495,3640313,0.0-21.0-7.0-0.0-2.32,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: gold; line-height: 2em;"">You drew a <b>gold coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,496,3640615,0.0-21.0-7.0-0.0-0.33,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,497,3644766,0.0-21.0-7.0-0.0-1.33,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,4146.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,1822.0,arrowleft,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,,,False,0.0,33.0,,,,,,,,,,,,,,,,B,harmony,both,both,large,small,0.15,0.1,400.0,10.0,60.0,1.0,340.0,9.0,left,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,498,3645769,0.0-21.0-7.0-0.0-2.33,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: gold; line-height: 2em;"">You drew a <b>gold coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,499,3646071,0.0-21.0-7.0-0.0-0.34,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,500,3648286,0.0-21.0-7.0-0.0-1.34,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,2211.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,1830.0,arrowright,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,,,False,0.0,34.0,,,,,,,,,,,,,,,,B,conflict,both,both,small,large,0.3,0.2799999999999999,10.0,400.0,3.0,112.0,7.0,288.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,501,3649288,0.0-21.0-7.0-0.0-2.34,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,502,3649591,0.0-21.0-7.0-0.0-0.35,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,503,3651381,0.0-21.0-7.0-0.0-1.35,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,1786.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,1833.0,arrowleft,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,,,False,0.0,35.0,,,,,,,,,,,,,,,,B,harmony,both,both,large,small,0.38,0.3,400.0,10.0,152.0,3.0,248.0,7.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,504,3652382,0.0-21.0-7.0-0.0-2.35,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,505,3652690,0.0-21.0-7.0-0.0-0.36,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,506,3654157,0.0-21.0-7.0-0.0-1.36,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,1463.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,1836.0,arrowleft,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,,,False,0.0,36.0,,,,,,,,,,,,,,,,B,conflict,both,both,large,small,0.2199999999999999,0.3,400.0,10.0,88.0,3.0,312.0,7.0,left,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,507,3655159,0.0-21.0-7.0-0.0-2.36,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: gold; line-height: 2em;"">You drew a <b>gold coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,508,3655462,0.0-21.0-7.0-0.0-0.37,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,509,3670675,0.0-21.0-7.0-0.0-1.37,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,15209.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,1844.0,arrowright,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,,,False,0.0,37.0,,,,,,,,,,,,,,,,B,harmony,both,both,large,small,0.35,0.3,400.0,10.0,140.0,3.0,260.0,7.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,510,3671678,0.0-21.0-7.0-0.0-2.37,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,511,3671981,0.0-21.0-7.0-0.0-0.38,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,512,3675202,0.0-21.0-7.0-0.0-1.38,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,3217.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,1847.0,arrowright,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,,,False,0.0,38.0,,,,,,,,,,,,,,,,B,conflict,both,both,large,small,0.09,0.1,400.0,10.0,36.0,1.0,364.0,9.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,513,3676204,0.0-21.0-7.0-0.0-2.38,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,514,3676508,0.0-21.0-7.0-0.0-0.39,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,515,3684961,0.0-21.0-7.0-0.0-1.39,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,8449.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,1850.0,arrowleft,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,,,False,0.0,39.0,,,,,,,,,,,,,,,,B,harmony,both,both,large,small,0.25,0.2,400.0,10.0,100.0,2.0,300.0,8.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,516,3685963,0.0-21.0-7.0-0.0-2.39,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,517,3686267,0.0-21.0-7.0-0.0-0.40,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,518,3688208,0.0-21.0-7.0-0.0-1.40,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,1936.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,1853.0,arrowleft,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,,,False,0.0,40.0,,,,,,,,,,,,,,,,B,harmony,both,both,small,large,0.2,0.24,10.0,400.0,2.0,96.0,8.0,304.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,519,3689210,0.0-21.0-7.0-0.0-2.40,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,520,3689513,0.0-21.0-7.0-0.0-0.41,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,521,3692776,0.0-21.0-7.0-0.0-1.41,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,3259.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,1856.0,arrowright,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,,,False,0.0,41.0,,,,,,,,,,,,,,,,B,harmony,both,both,small,large,0.1,0.14,10.0,400.0,1.0,56.0,9.0,344.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,522,3693778,0.0-21.0-7.0-0.0-2.41,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,523,3694081,0.0-21.0-7.0-0.0-0.42,V9CWpVTofFjjCUwhRmVJ,223301,3,dlaCYtCc5YRUeSJTGLOwcCPyvW,JL7onmpFgxEsPwKfUtAH3azHTm,1920.0,1080.0,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
