trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_shipley_vocab,task_time_series,task_leapfrog,task_impossible_question,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_rp,task_bayesian_update_easy,task_bayesian_update_hard,task_graph_literacy,task_admc_rc1,task_coherence_forecasting,task_admc_a2,task_shipley_abstraction,custom_timer_ended_trial,interval_id,response,question_order,shipley_vocabulary_score,stimulus,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,moved_sliders,admc_id,admc_response,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,slider_start,slider_moved,cfs_id,cfs_response,shipley_abstraction_score
html-keyboard-response,2,4,0.0-2.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,g1w56z9ienJgDLlHgF7eXW9KKM,,,,,,,,,,,,,,,,async_data_save,,experiment__save_session_params,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,7,33718,0.0-7.0-0.0-0.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,8,33884,0.0-7.0-1.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,9,45338,0.0-7.0-2.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,"[{'page_index': 0, 'viewing_time': 11449}]",11450.0,,,,,,,,,,,,shipley_vocab_instructions,,,,,,,,,,,,,,,,,,,False,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,10,45343,0.0-7.0-3.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,11,516502,0.0-7.0-4.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,471149.0,,,,,,,,,,,,shipley_vocab_test_trial,,,,,,,,,,,,,,,,,,,False,34.0,"{'shipley_vocab_1': 'speak', 'shipley_vocab_2': 'sofa', 'shipley_vocab_3': 'recall', 'shipley_vocab_4': 'forgive', 'shipley_vocab_5': 'dreadful', 'shipley_vocab_6': 'large', 'shipley_vocab_7': 'likely', 'shipley_vocab_8': 'pretender', 'shipley_vocab_9': 'enchant', 'shipley_vocab_10': 'obvious', 'shipley_vocab_11': 'tell', 'shipley_vocab_12': 'pull', 'shipley_vocab_13': 'laughter', 'shipley_vocab_14': 'uninformed', 'shipley_vocab_15': 'heading', 'shipley_vocab_16': 'signify', 'shipley_vocab_17': 'serious', 'shipley_vocab_18': 'strengthen', 'shipley_vocab_19': 'deserve', 'shipley_vocab_20': 'fame', 'shipley_vocab_21': 'help', 'shipley_vocab_22': 'charm', 'shipley_vocab_23': 'barren', 'shipley_vocab_24': 'affable', 'shipley_vocab_25': 'waste', 'shipley_vocab_26': 'notched', 'shipley_vocab_27': 'pilfer', 'shipley_vocab_28': 'hole', 'shipley_vocab_29': 'unspoiled', 'shipley_vocab_30': 'harmless', 'shipley_vocab_31': 'humorous', 'shipley_vocab_32': 'lament', 'shipley_vocab_33': 'relentless', 'shipley_vocab_34': 'dispossess', 'shipley_vocab_35': 'mitigate', 'shipley_vocab_36': 'complaining', 'shipley_vocab_37': 'placate', 'shipley_vocab_38': 'disuse', 'shipley_vocab_39': 'traverse', 'shipley_vocab_40': 'everyday'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,12,516529,0.0-7.0-5.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,13,596742,0.0-7.0-6.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,80209.0,,,,,,,,,,,,feedback_Shipley (Vocabulary),,,,,,,,,,,,,,,,,,,,,,,,"
                    <p class=""instructions-title"">Feedback?</p>
                    <p>If something went wrong during the last task or you think we can improve it, please leave any and all comments you have here.</p>
                    <div style=""margin-bottom: 3vh"">
                        <textarea id=""task_feedback"" style=""width: 50vw; height: 15vh;""></textarea>
                    </div>
                ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,14,596750,0.0-7.0-7.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,15,596752,0.0-7.0-9.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,,,,,,,,,,,,,async_data_save,,Shipley (Vocabulary)__completed,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,16,596756,0.0-9.0-0.0-0.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,17,596912,0.0-9.0-1.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,18,682543,0.0-9.0-2.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,"[{'page_index': 0, 'viewing_time': 30159}, {'page_index': 1, 'viewing_time': 55479}]",85638.0,,,,,,,,,,,,time_series_general_instructions,,,,,,,,,,,,,,,,,,,False,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,19,682547,0.0-9.0-3.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,20,689308,0.0-9.0-4.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,"[{'page_index': 0, 'viewing_time': 6757}]",6760.0,,,,,,,,,,,,time_series_pt_trials_instructions,,,,,,,,,,,,,,,,,,,False,249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,21,710315,0.0-9.0-5.0-0.0-0.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,True,253.0,,,,"<canvas id=""myChart""></canvas>","[117.38822243366684, 140.08852255640136, 157.75678049984725, 147.98526539727297, 106.16738621282144, 98.5492223671279, 152.63780829011648, 145.12731985187293, 120.62544643644118, 190.94559135235448, '216.28', '250.55', '220.31', '199.15', '178.99', '153.79']",643.6,True,0.0,0.0,exponential,positive,high,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,22,727458,0.0-9.0-5.0-0.0-0.1,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,17135.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,261.0,0,,,"<canvas id=""myChart""></canvas>","[110.93277744910823, 98.00665277721275, 135.0125514084938, 144.2392381863271, 41.765457249549385, 110.71859563847866, 90.67831646780341, 107.46645210038649, 131.39801822841437, 104.06548070259328, 147.03873861907562, 127.01027104500069, 124.53997005313268, 138.80867260287144, 172.42241692019755, 89.9323539515556, 137.13768345867427, 117.26607763562168, 141.89011359891785, 140.14252754917058, 136.5678523359413, 151.2708075782723, 132.40990460839492, 154.7922626296968, 157.68239670901045, 133.9939308372307, 201.54611496704513, 212.9136329494348, 221.58640378282604, 322.44569334461926, '361.41', '404.74', '425.91', '405.75', '390.63', '372.49']",643.6,True,0.0,1.0,exponential,positive,high,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,23,744292,0.0-9.0-5.0-0.0-0.2,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,16816.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,267.0,0,,,"<canvas id=""myChart""></canvas>","[102.8647138009381, 98.28679821100958, 136.2730920831608, 105.49092763375064, 107.5262372152852, 116.79292449964889, 111.20817788880012, 100.27984984638185, 133.99151315669567, 129.18174365611407, 121.86445007218485, 105.93687269420184, 120.2670407099742, 115.15279907032195, 120.20968436635249, 112.62681614972375, 111.82408206654799, 138.29693096609256, 144.45047013008272, 138.4019908849417, 143.49708408113077, 158.96067342575776, 164.51461946701414, 161.34188529092086, 171.03485239336618, 175.03061325431236, 191.4316146756587, 197.12851668010083, 239.40780373048315, 221.2452049979106, '208.22', '199.15', '218.30', '222.33', '222.33', '203.18']",643.6,True,0.0,2.0,exponential,positive,low,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,24,759492,0.0-9.0-5.0-0.0-0.3,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,15190.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,274.0,0,,,"<canvas id=""myChart""></canvas>","[223.70152896178965, 229.2209272603437, 256.9083294124825, 274.2548533572045, 271.47224403904863, 308.48673601038655, 309.1107177997346, 318.8975352876504, 333.1241230884199, 320.024846074156, '312.02', '295.90', '290.86', '279.77', '281.79', '307.99']",643.6,True,0.0,3.0,linear,positive,low,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,25,768531,0.0-9.0-6.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,"[{'page_index': 0, 'viewing_time': 9031}]",9032.0,,,,,,,,,,,,time_series_test_trials_instructions,,,,,,,,,,,,,,,,,,,False,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,26,785547,0.0-9.0-7.0-0.0-0.0,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,17011.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,284.0,0,,,"<canvas id=""myChart""></canvas>","[548.8097480758513, 452.86926100466434, 556.8262398402135, 531.7976578071499, 509.0916559431339, 503.148953616281, 600.0392862264337, 556.5675697474117, 525.2827531583865, 503.8271575388568, 558.5251425725555, 523.2151017107598, 477.47721295637206, 519.0870987143605, 528.8075360472608, 565.0784916875261, 497.78842969135576, 575.914338255381, 516.9853742513782, 458.1651971974827, 513.8551889098516, 492.4655491866894, 488.5366520543637, 441.0262352002505, 498.8491646101785, 388.6871815205854, 448.77940683526094, 427.69029462025594, 457.33711730460004, 339.72436205603356, '318.07', '346.29', '375.52', '432.96', '394.67', '428.93']",643.6,False,0.0,0.0,exponential,negative,high,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,27,804500,0.0-9.0-7.0-0.0-0.1,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,18955.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,291.0,0,,,"<canvas id=""myChart""></canvas>","[391.80991181013076, 399.4933666096246, 406.0962269904129, 382.4035808568164, 362.1620292554939, 352.17976038101693, 324.23986435943954, 300.9266154367902, 309.6696085655919, 282.9167473573812, '272.72', '243.49', '303.96', '329.16', '313.03', '331.17']",643.6,False,0.0,1.0,linear,negative,low,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,28,819639,0.0-9.0-7.0-0.0-0.2,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,15132.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,298.0,0,,,"<canvas id=""myChart""></canvas>","[473.6411490006278, 408.7727153062513, 391.05749397775554, 500.32436680109186, 327.13271776286103, 425.69465020206343, 393.47448196940087, 306.36488515921104, 384.8491426237069, 335.8953760748486, 321.07349792389954, 392.8268467603678, 327.46454765947163, 281.7177554360059, 362.9336556593398, 328.1884120073951, 325.62305053625863, 295.08842553392356, 318.42269925957953, 328.4691268341377, 251.23673109826305, 300.7120100165116, 253.2303499439679, 283.46408415175944, 268.7099387219348, 248.03877123319182, 299.8870239480394, 238.787301509553, 229.75844723738035, 254.66592114970254, '252.56', '239.46', '273.73', '245.51', '283.80', '251.55']",643.6,False,0.0,2.0,linear,negative,high,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,29,838910,0.0-9.0-7.0-0.0-0.3,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,19263.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,304.0,0,,,"<canvas id=""myChart""></canvas>","[217.57009445928085, 214.3354029759488, 225.199784671825, 256.0984975929876, 228.9216172739686, 224.0801174188834, 260.05742670039575, 248.371530141786, 269.81034943850074, 306.7229835134502, 275.7294607198974, 280.80152645445446, 303.9833974010877, 291.42229876303713, 289.3797062591, 319.27766961009024, 317.4193418436436, 329.3808881471219, 331.8701835212815, 359.48730959164624, 344.8567287304463, 348.78285787513073, 356.76922297141016, 362.7297577897345, 365.6487669592497, 361.3302125127268, 380.03676734527414, 363.180950571605, 381.15123449485276, 411.7996597107426, '388.62', '411.80', '388.62', '408.78', '428.93', '415.83']",643.6,False,0.0,3.0,linear,positive,low,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,30,856164,0.0-9.0-7.0-0.0-0.4,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,17231.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,311.0,0,,,"<canvas id=""myChart""></canvas>","[464.27730891918395, 517.2441065874193, 521.5627184845381, 552.2740839707989, 512.0390135481459, 543.7545180365175, 522.1559673634549, 524.9674999829028, 542.0319081310756, 443.4165091316448, '396.68', '428.93', '465.21', '513.59', '467.23', '445.06']",643.6,False,0.0,4.0,exponential,negative,high,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,31,870814,0.0-9.0-7.0-0.0-0.5,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,14644.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,318.0,0,,,"<canvas id=""myChart""></canvas>","[251.6895619574807, 321.9116747144475, 239.441551005337, 271.55835429842153, 280.22245367020514, 334.7077682234006, 268.4452186572239, 260.6808279278727, 357.9347476030299, 319.24380766047494, '287.84', '352.34', '303.96', '349.31', '309.00', '349.31']",643.6,False,0.0,5.0,linear,positive,high,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,32,884170,0.0-9.0-7.0-0.0-0.6,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,13350.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,324.0,0,,,"<canvas id=""myChart""></canvas>","[113.58131538836196, 103.22623736766917, 95.11620584734813, 114.24439447194075, 111.50302814226454, 111.3510335368535, 104.87658313700008, 112.66201832016804, 127.5164597652113, 121.68287373281777, 111.04005737822261, 140.51110129865208, 129.11648831938885, 138.81830995149636, 130.1452836961806, 129.33214692565443, 141.58781265818925, 113.97012150790445, 132.15497335705663, 139.26146496808383, 146.52530917745892, 141.63075549176207, 163.952290974939, 172.14590011597994, 174.0409976578483, 199.7230649265835, 215.2825439627918, 217.86438773503136, 232.76015023148514, 260.08133487075986, '266.67', '279.77', '290.86', '265.66', '249.54', '247.52']",643.6,False,0.0,6.0,exponential,positive,low,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,33,898182,0.0-9.0-7.0-0.0-0.7,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,14002.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,330.0,0,,,"<canvas id=""myChart""></canvas>","[219.56829925545756, 242.3408842290957, 264.83101767761525, 264.9746788141174, 273.22642134870864, 305.9230530611897, 305.66721101784196, 320.5643889070846, 331.0513062979286, 340.2143191087107, '332.18', '353.35', '405.75', '354.35', '348.31', '372.49']",643.6,False,0.0,7.0,linear,positive,low,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,34,915461,0.0-9.0-7.0-0.0-0.8,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,17273.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,335.0,0,,,"<canvas id=""myChart""></canvas>","[39.039666847076234, 142.05475048143506, 107.40486282391558, 182.35039486883184, 22.060159457766073, 55.18442517857049, 173.2752078299498, 111.75636217169516, 185.33349042944857, 167.88733431696025, '141.70', '178.99', '172.94', '219.30', '187.05', '240.47']",643.6,False,0.0,8.0,exponential,positive,high,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,35,931721,0.0-9.0-7.0-0.0-0.9,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,16253.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,342.0,0,,,"<canvas id=""myChart""></canvas>","[548.4195329076642, 518.4998980055932, 520.923574982418, 529.0742132996265, 549.4204544807844, 548.6692125818555, 506.9818529509791, 530.2788240967272, 541.4484415810856, 534.8244028758893, 521.9587366399026, 510.3482614492299, 527.0450012630566, 535.057793365033, 524.175959561302, 524.3614063122402, 512.4758569426351, 517.0254148183121, 497.1459475247856, 525.9897724164022, 498.7407640258982, 494.40130428135944, 464.55449742356416, 492.68625916920746, 463.7919529713259, 454.94324917887076, 444.40596044636766, 448.83962314907393, 412.7072392303194, 370.3417754027167, '349.31', '360.40', '376.53', '380.56', '400.71', '396.68']",643.6,False,0.0,9.0,exponential,negative,low,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,36,949557,0.0-9.0-7.0-0.0-0.10,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,17828.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,348.0,0,,,"<canvas id=""myChart""></canvas>","[405.5606386131407, 425.61929480062315, 426.79357327228126, 377.9742792410025, 357.0337523407704, 366.5757191215544, 299.18306065321644, 266.1667272116938, 262.24828296756004, 297.3898423312776, '333.19', '324.12', '365.44', '365.44', '390.63', '421.88']",643.6,False,0.0,10.0,linear,negative,high,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,37,963223,0.0-9.0-7.0-0.0-0.11,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,13656.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,355.0,0,,,"<canvas id=""myChart""></canvas>","[80.72111576951123, 147.16696415578443, 168.08647106594444, 110.06908967943465, 150.09018684582412, 60.70870337860298, 153.2867926305296, 95.52450216702339, 98.84983914312805, 116.69255327945665, 100.97993817651222, 165.90491613388986, 184.74301060199946, 85.76212671025142, 135.00199705217926, 102.64159503557381, 105.55736589281784, 72.26367390449415, 171.13419766126057, 181.08724828731985, 51.765893939980586, 136.86702768907054, 144.62882253441964, 90.09211017196597, 163.79455213415696, 155.46983100905965, 239.09767371260182, 172.70894048181268, 288.93439866200794, 262.03225229609126, '234.42', '259.62', '246.52', '281.79', '269.70', '252.56']",643.6,False,0.0,11.0,exponential,positive,high,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,38,978329,0.0-9.0-7.0-0.0-0.12,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,15098.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,361.0,0,,,"<canvas id=""myChart""></canvas>","[267.90528977815984, 161.32639517758128, 245.31232066350546, 224.97844606735526, 328.3348896516742, 218.6063263130346, 258.72290470128445, 233.26399643259543, 242.3557830672567, 295.65783888201497, 334.5663104138953, 261.32100685875344, 301.4914240957252, 379.55907744705894, 289.85925603106415, 331.97835207773016, 343.43347231810196, 288.27508675499735, 290.1869626379123, 380.8489623020108, 315.4756332352946, 352.4736415710396, 405.9748923006579, 381.66205724741707, 344.47267142164185, 385.40420601623504, 421.3776956110583, 331.16692629752896, 339.6985615988835, 479.4737698277951, '424.90', '461.18', '441.03', '476.30', '445.06', '482.35']",643.6,False,0.0,12.0,linear,positive,high,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,39,998697,0.0-9.0-7.0-0.0-0.13,vw1A3VymLejMEXi1H8Wf,223301,5,B1SSc0glBTG6Irp2d0fpn73Ymo,GxfuvHHO968DsM4fFpyISona59,1536.0,960.0,,20359.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,False,367.0,0,,,"<canvas id=""myChart""></canvas>","[540.7830206456402, 524.8168069396761, 541.3961715479486, 565.2778450871118, 529.4856038043239, 545.7308779051007, 519.8417593862499, 517.5179532593003, 499.7505853167078, 482.0475021242569, '452.11', '468.24', '489.40', '461.18', '492.43', '485.37']",643.6,False,0.0,13.0,exponential,negative,low,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
