trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,trial_name,experiment_parameters,task_admc_a1,task_admc_dr,data_checkpoint,data_checkpoint_ind,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,success,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,question_order
call-function,7,13276,0.0-7.0-1.0,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,,,,,,,1530.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,
instructions,8,17800,0.0-7.0-2.0,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,admc_a1_instructions,,,,,,1530.0,1080.0,"[{'page_index': 0, 'viewing_time': 4522}]",4522.0,,,,,,,,,,,,,False,75.0,,,,,,,
call-function,9,17802,0.0-7.0-3.0,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,,,,,,,1530.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,
html-slider-response,10,20747,0.0-7.0-4.0-0.0,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,resistance_to_framing_trial,,,,,,1530.0,1080.0,,2944.0,,,,,,,,,,,,,False,98.0,"<p><b>Problem</b></p>
                                <p>Imagine that a type of condom has a 95% success rate. That is, if you have sex with someone who has the AIDS virus, there is a 95% chance that this type of condom will prevent you from being exposed to the AIDS virus.</p>
                                <p>Should the government allow this type of condom to be advertised as ""an effective method for lowering the risk of AIDS""?</p>",1.0,4,True,a1_1,4.0,
html-slider-response,11,22000,0.0-7.0-4.0-0.1,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,resistance_to_framing_trial,,,,,,1530.0,1080.0,,1249.0,,,,,,,,,,,,,False,121.0,"<p><b>Problem</b></p>
                                <p>Imagine the following situation. You are entertaining a special friend by inviting them for dinner. You are making your favorite lasagna dish with ground beef. Your roommate goes to the grocery store and purchases a package of ground beef for you. The label says 80% lean ground beef.</p>
                                <p>What's your evaluation of the quality of this ground beef?</p>",1.0,4,True,a1_2,4.0,
html-slider-response,12,23253,0.0-7.0-4.0-0.2,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,resistance_to_framing_trial,,,,,,1530.0,1080.0,,1251.0,,,,,,,,,,,,,False,143.0,"<p><b>Problem</b></p>
                                <p>In a recent confidential survey completed by graduating seniors, 35% of those completing the survey stated that they had never cheated during their college career.</p>
                                <p>Considering the results of the survey, how would you rate the incidence of cheating at your university?</p>",1.0,4,True,a1_3,4.0,
html-slider-response,13,24798,0.0-7.0-4.0-0.3,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,resistance_to_framing_trial,,,,,,1530.0,1080.0,,1541.0,,,,,,,,,,,,,False,164.0,"<p><b>Problem</b></p>
                                <p>As R&D manager, one of your project teams has come to you requesting an additional $100,000 in funds for a project you instituted several months ago. The project is already behind schedule and over budget, but the team still believes it can be successfully completed. You currently have $500,000 remaining in your budget unallocated, but which must carry you for the rest of the fiscal year. Lowering the balance by an additional $100,000 might jeopardize flexibility to respond to other opportunities.</p>
                                <p>Evaluating the situation, you believe there is a fair chance the project will not succeed, in which case the additional funding would be lost; if successful, however, the money would be well spent. You also noticed that of the projects undertaken by this team, 30 of the last 50 have been successful.</p>
                                <p>What is the likelihood you would fund the request?</p>",1.0,4,True,a1_4,4.0,
html-slider-response,14,26651,0.0-7.0-4.0-0.4,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,resistance_to_framing_trial,,,,,,1530.0,1080.0,,1849.0,,,,,,,,,,,,,False,185.0,"<p><b>Problem</b></p>
                                <p>Suppose a student got 90% correct in the mid-term exam and 70% correct in the final-term exam, what would be your evaluations of this student's performance?</p>",1.0,4,True,a1_5,4.0,
html-slider-response,15,27986,0.0-7.0-4.0-0.5,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,resistance_to_framing_trial,,,,,,1530.0,1080.0,,1334.0,,,,,,,,,,,,,False,207.0,"<p><b>Problem</b></p>
                                <p>Imagine that a woman parked illegally. After talking to her, you believe that there is a 20% chance that she did not know she parked illegally.</p>
                                <p>With this in mind, how much of a fine do you believe this woman deserves?</p>",1.0,4,True,a1_6,4.0,
html-slider-response,16,29193,0.0-7.0-4.0-0.6,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,resistance_to_framing_trial,,,,,,1530.0,1080.0,,1204.0,,,,,,,,,,,,,False,229.0,"<p><b>Problem</b></p>
                                <p>Imagine that a new technique has been developed to treat a particular kind of cancer. This technique has a 50% chance of success, and is available at the local hospital.</p>
                                <p>A member of your immediate family is a patient at the local hospital with this kind of cancer. Would you encourage him or her to undergo treatment using this technique?</p>",1.0,4,True,a1_7,4.0,
call-function,17,29194,0.0-7.0-5.0,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,,,,,,,1530.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,18,31511,0.0-7.0-6.0,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,feedback_ADMC Framing A1,,,,,,1530.0,1080.0,,2317.0,,,,,,,,,,,,,,,"
                    <p class=""instructions-title"">Feedback?</p>
                    <p>If something went wrong during the last task or you think we can improve it, please leave any and all comments you have here.</p>
                    <div style=""margin-bottom: 3vh"">
                        <textarea id=""task_feedback"" style=""width: 50vw; height: 15vh;""></textarea>
                    </div>
                ",,1234,,,,
call-function,19,31514,0.0-7.0-7.0,aCNB1vFZmXAlOqiC0aP9,all,,BdRvK5CpXHghXACi2kb7QThxCm,SawZ9VgGCzb37gO0BfA0rgfEna,,,,,,,1530.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,
