trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_shipley_vocab,task_bayesian_update_easy,task_bayesian_update_hard,task_admc_rc1,task_admc_a2,task_shipley_abstraction,task_leapfrog,task_impossible_question,task_time_series,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_graph_literacy,task_admc_rp,task_coherence_forecasting,custom_timer_ended_trial,interval_id,response,question_order,shipley_vocabulary_score,stimulus,response_slider,pt_trial,block,trial,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,slider_start,slider_moved,admc_id,admc_response,shipley_abstraction_score,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,response_choice,id,question_text,answer_1,answer_2,correct_answer,correct,y_axis_values,chart_height,func,direction,noise_condition,datapoints,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,moved_sliders,cfs_id,cfs_response
html-keyboard-response,2,3,0.0-2.0,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,xQNImRVOFyj9CyBmALZQJKsjje,,,,,,,,,,,,,,,,async_data_save,,experiment__save_session_params,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,7,8558,0.0-7.0-0.0-0.0,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,8,8710,0.0-7.0-1.0,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,9,16383,0.0-7.0-2.0,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,"[{'page_index': 0, 'viewing_time': 7673}]",7673.0,,,,,,,,,,,,shipley_vocab_instructions,,,,,,,,,,,,,,,,,,,False,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,10,16384,0.0-7.0-3.0,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-multi-choice,11,302758,0.0-7.0-4.0,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,286370.0,,,,,,,,,,,,shipley_vocab_test_trial,,,,,,,,,,,,,,,,,,,False,5.0,"{'shipley_vocab_1': 'speak', 'shipley_vocab_2': 'sofa', 'shipley_vocab_3': 'recall', 'shipley_vocab_4': 'forgive', 'shipley_vocab_5': 'dreadful', 'shipley_vocab_6': 'large', 'shipley_vocab_7': 'likely', 'shipley_vocab_8': 'pretender', 'shipley_vocab_9': 'enchant', 'shipley_vocab_10': 'obvious', 'shipley_vocab_11': 'tell', 'shipley_vocab_12': 'pull', 'shipley_vocab_13': 'laughter', 'shipley_vocab_14': 'uninformed', 'shipley_vocab_15': 'heading', 'shipley_vocab_16': 'signify', 'shipley_vocab_17': 'serious', 'shipley_vocab_18': 'strengthen', 'shipley_vocab_19': 'deserve', 'shipley_vocab_20': 'fame', 'shipley_vocab_21': 'help', 'shipley_vocab_22': 'charm', 'shipley_vocab_23': 'barren', 'shipley_vocab_24': 'affable', 'shipley_vocab_25': 'waste', 'shipley_vocab_26': 'notched', 'shipley_vocab_27': 'pilfer', 'shipley_vocab_28': 'hole', 'shipley_vocab_29': 'unspoiled', 'shipley_vocab_30': 'harmless', 'shipley_vocab_31': 'humorous', 'shipley_vocab_32': 'lament', 'shipley_vocab_33': 'relentless', 'shipley_vocab_34': 'dispossess', 'shipley_vocab_35': 'mitigate', 'shipley_vocab_36': 'complaining', 'shipley_vocab_37': 'incite', 'shipley_vocab_38': 'disuse', 'shipley_vocab_39': 'traverse', 'shipley_vocab_40': 'everyday'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,12,302761,0.0-7.0-5.0,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,13,302761,0.0-7.0-6.0,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,14,302762,0.0-7.0-8.0,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,,,,,,,,,,,,,async_data_save,,Shipley (Vocabulary)__completed,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,15,302765,0.0-9.0-0.0-0.0,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,16,302916,0.0-9.0-1.0,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,17,346823,0.0-9.0-2.0,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,"[{'page_index': 0, 'viewing_time': 17185}, {'page_index': 1, 'viewing_time': 26721}]",43906.0,,,,,,,,,,,,bayesian_update_general_instructions,,,,,,,,,,,,,,,,,,,False,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,18,346823,0.0-9.0-3.0,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,19,349923,0.0-9.0-4.0,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,"[{'page_index': 0, 'viewing_time': 3100}]",3100.0,,,,,,,,,,,,bayesian_update_pt_trials_instructions,,,,,,,,,,,,,,,,,,,False,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,20,370773,0.0-9.0-5.0-0.0-0.0,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,20847.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,,False,10.0,0,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>70 <span style=""color: red;"">red</span>, 30 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>70 <span style=""color: blue;"">blue</span>, 30 <span style=""color: red;"">red</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",35.0,True,0.0,0.0,0.0,0.0,"[30, 70]",red,blue,red,['red'],[],easy,aig,0.5026288565618122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,21,379505,0.0-9.0-5.0-0.0-0.1,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,8730.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,,False,16.0,0,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>70 <span style=""color: red;"">red</span>, 30 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>70 <span style=""color: blue;"">blue</span>, 30 <span style=""color: red;"">red</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",30.0,True,0.0,1.0,0.0,1.0,"[30, 70]",red,blue,red,['red'],[['red']],easy,aig,0.2282586519809801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,22,387805,0.0-9.0-5.0-0.0-0.2,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,8299.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,,False,22.0,0,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>70 <span style=""color: red;"">red</span>, 30 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>70 <span style=""color: blue;"">blue</span>, 30 <span style=""color: red;"">red</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",30.0,True,0.0,2.0,0.0,2.0,"[30, 70]",red,blue,red,['red'],"[['red'], ['red']]",easy,aig,1.0755565123681836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,23,394982,0.0-9.0-5.0-0.0-0.3,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,7176.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,,False,28.0,0,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>70 <span style=""color: red;"">red</span>, 30 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>70 <span style=""color: blue;"">blue</span>, 30 <span style=""color: red;"">red</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",55.0,True,0.0,3.0,0.0,3.0,"[30, 70]",red,blue,red,['blue'],"[['red'], ['red'], ['red']]",easy,aig,0.6585037890876317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,24,401109,0.0-9.0-5.0-0.0-0.4,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,6126.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,,False,34.0,0,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>70 <span style=""color: red;"">red</span>, 30 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>70 <span style=""color: blue;"">blue</span>, 30 <span style=""color: red;"">red</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",36.0,True,0.0,4.0,0.0,4.0,"[30, 70]",red,blue,red,['red'],"[['red'], ['red'], ['red'], ['blue']]",easy,aig,1.2127576338816688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,25,408500,0.0-9.0-5.0-0.0-1.4-0.4,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,"[{'page_index': 0, 'viewing_time': 7391}]",7391.0,,,,,,,,,,,,bayesian_update_between_unique_trials_trial,,,,,,,,,,,,,,,,,,,False,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,26,416093,0.0-9.0-5.0-0.0-0.5,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,7591.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,,False,41.0,0,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>60 <span style=""color: blue;"">blue</span>, 40 <span style=""color: red;"">red</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>60 <span style=""color: red;"">red</span>, 40 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",57.0,True,0.0,5.0,1.0,0.0,"[40, 60]",blue,red,blue,['red'],[],easy,aig,0.7961794064581805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,27,422056,0.0-9.0-5.0-0.0-0.6,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,5962.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,,False,47.0,0,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>60 <span style=""color: blue;"">blue</span>, 40 <span style=""color: red;"">red</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>60 <span style=""color: red;"">red</span>, 40 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",63.0,True,0.0,6.0,1.0,1.0,"[40, 60]",blue,red,blue,['red'],[['red']],easy,aig,0.498132796967572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,28,428447,0.0-9.0-5.0-0.0-0.7,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,6390.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,,False,53.0,0,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>60 <span style=""color: blue;"">blue</span>, 40 <span style=""color: red;"">red</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>60 <span style=""color: red;"">red</span>, 40 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",37.0,True,0.0,7.0,1.0,2.0,"[40, 60]",blue,red,blue,['blue'],"[['red'], ['red']]",easy,aig,0.5451503663070653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,29,433330,0.0-9.0-5.0-0.0-0.8,oO4EVyNmcCaw95OzZ81f,223301,3,3DkYm4TofR4RvQQmb7OLo9CNbF,otGUgWVukP1kIoHNgCZfESMjNQ,2752.0,1152.0,,4882.0,,,,,,,,,,,,bayesian_update_test_trial,,,,,,,,,,,,,,,,,,,False,59.0,0,,,"<div id=""draws_container"">
                            <div id=""current_draw_container"">
                                <div>CURRENT DRAW</div>
                                <div id=""curr_draw_balls""></div>
                            </div>
                            <div id=""past_draws_container"">
                                <div>PAST DRAWS</div>
                                <div id=""past_draw_balls""></div>
                            </div>
                        </div>
                        <div id=""boxes_container"">
                            <div id=""left_box_label"">Left box<br><span>60 <span style=""color: blue;"">blue</span>, 40 <span style=""color: red;"">red</span></span></div>
                            <div id=""right_box_label"">Right box<br><span>60 <span style=""color: red;"">red</span>, 40 <span style=""color: blue;"">blue</span></span></div>
                            <div id=""left_box"" class=""box""></div>
                            <div id=""black_box"" class=""box""><div id=""black_box_top_border""></div></div>
                            <div id=""right_box"" class=""box""></div>
                        </div>
                        <div id=""question_container"">What is the probability that this draw was from the left vs right box?</div>
                        <div id=""slider_and_labels_container"">
                            <div id=""slider_current_selection_container"">
                                <div id=""slider_current_selection_text"">50% left, 50% right</div>
                            </div>
                            <div id=""slider_container"">
                                <input name=""response_slider"" id=""response_slider"" type=""range"" min=""0"" max=""100"" step=""1"" value=""50"" class=""jspsych-slider"" style=""width: 100%"">
                            </div>	
                            <div id=""slider_labels_container"">
                                <div>Definitely left box</div>
                                <div>Equally likely to be either left or right</div>
                                <div>Definitely right box</div>
                            </div>
                        </div>
                        ",63.0,True,0.0,8.0,1.0,3.0,"[40, 60]",blue,red,blue,['red'],"[['red'], ['red'], ['blue']]",easy,aig,0.498132796967572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
