view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_a1,task_time_series,task_admc_dr,task_impossible_question,task_leapfrog,task_raven_matrix,task_bayesian_update_easy,task_bayesian_update_hard,task_admc_rc2,task_cognitive_reflection,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_number_series,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,question_order,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,list_id,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,ns_id,ns_response
,,html-keyboard-response,2,3,0.0-2.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,async_data_save,,experiment__save_session_params,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,browser-check,3,998,0.0-3.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,1536.0,791.0,True,chrome,122.0.0,False,Windows 10,True,61.26,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,4,998,0.0-4.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,5,1157,0.0-5.0-1.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'page_index': 0, 'viewing_time': 2412}]",2412.0,instructions,6,3570,0.0-5.0-2.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,admc_a1_instructions,,,,,,,,,,,,,,,,,,False,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,7,3571,0.0-5.0-3.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4164.0,html-slider-response,8,7737,0.0-5.0-4.0-0.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,6.0,"<p><b>Problem</b></p>
                                <p>Imagine that a type of condom has a 95% success rate. That is, if you have sex with someone who has the AIDS virus, there is a 95% chance that this type of condom will prevent you from being exposed to the AIDS virus.</p>
                                <p>Should the government allow this type of condom to be advertised as ""an effective method for lowering the risk of AIDS""?</p>",1.0,5,True,a1_1,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4535.0,html-slider-response,9,12274,0.0-5.0-4.0-0.1,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,7.0,"<p><b>Problem</b></p>
                                <p>Imagine the following situation. You are entertaining a special friend by inviting them for dinner. You are making your favorite lasagna dish with ground beef. Your roommate goes to the grocery store and purchases a package of ground beef for you. The label says 80% lean ground beef.</p>
                                <p>What's your evaluation of the quality of this ground beef?</p>",1.0,3,True,a1_2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3950.0,html-slider-response,10,16229,0.0-5.0-4.0-0.2,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,8.0,"<p><b>Problem</b></p>
                                <p>In a recent confidential survey completed by graduating seniors, 35% of those completing the survey stated that they had never cheated during their college career.</p>
                                <p>Considering the results of the survey, how would you rate the incidence of cheating at your university?</p>",1.0,4,True,a1_3,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4107.0,html-slider-response,11,20338,0.0-5.0-4.0-0.3,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,9.0,"<p><b>Problem</b></p>
                                <p>As R&D manager, one of your project teams has come to you requesting an additional $100,000 in funds for a project you instituted several months ago. The project is already behind schedule and over budget, but the team still believes it can be successfully completed. You currently have $500,000 remaining in your budget unallocated, but which must carry you for the rest of the fiscal year. Lowering the balance by an additional $100,000 might jeopardize flexibility to respond to other opportunities.</p>
                                <p>Evaluating the situation, you believe there is a fair chance the project will not succeed, in which case the additional funding would be lost; if successful, however, the money would be well spent. You also noticed that of the projects undertaken by this team, 30 of the last 50 have been successful.</p>
                                <p>What is the likelihood you would fund the request?</p>",1.0,4,True,a1_4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2959.0,html-slider-response,12,23298,0.0-5.0-4.0-0.4,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,10.0,"<p><b>Problem</b></p>
                                <p>Suppose a student got 90% correct in the mid-term exam and 70% correct in the final-term exam, what would be your evaluations of this student's performance?</p>",1.0,4,True,a1_5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3455.0,html-slider-response,13,26756,0.0-5.0-4.0-0.5,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,11.0,"<p><b>Problem</b></p>
                                <p>Imagine that a woman parked illegally. After talking to her, you believe that there is a 20% chance that she did not know she parked illegally.</p>
                                <p>With this in mind, how much of a fine do you believe this woman deserves?</p>",1.0,3,True,a1_6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3709.0,html-slider-response,14,30465,0.0-5.0-4.0-0.6,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,resistance_to_framing_trial,,,,,,,,,,,,,,,,,,False,12.0,"<p><b>Problem</b></p>
                                <p>Imagine that a new technique has been developed to treat a particular kind of cancer. This technique has a 50% chance of success, and is available at the local hospital.</p>
                                <p>A member of your immediate family is a patient at the local hospital with this kind of cancer. Would you encourage him or her to undergo treatment using this technique?</p>",1.0,6,True,a1_7,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,15,30466,0.0-5.0-5.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1570.0,html-button-response,16,32037,0.0-5.0-6.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,feedback_ADMC Framing A1,,,,,,,,,,,,,,,,,,,,"
                    <p class=""instructions-title"">Feedback?</p>
                    <p>If something went wrong during the last task or you think we can improve it, please leave any and all comments you have here.</p>
                    <div style=""margin-bottom: 3vh"">
                        <textarea id=""task_feedback"" style=""width: 50vw; height: 15vh;""></textarea>
                    </div>
                ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,17,32038,0.0-5.0-7.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,18,32039,0.0-5.0-9.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,async_data_save,,ADMC Framing A1__completed,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,49,425358,0.0-9.0-0.0-0.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,50,425511,0.0-9.0-1.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'page_index': 0, 'viewing_time': 35778}, {'page_index': 1, 'viewing_time': 4567}]",40346.0,instructions,51,465858,0.0-9.0-2.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,admc_dr_instructions,,,,,,,,,,,,,,,,,,False,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,52,465862,0.0-9.0-3.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25222.0,survey-multi-select,53,491088,0.0-9.0-4.0-0.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,admc_dr_trial,,,,,,,,,,,,,,,,,,False,44.0,,,{'dr1': ['C']},,dr1,1.0,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17926.0,survey-multi-select,54,509020,0.0-9.0-4.0-0.1,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,admc_dr_trial,,,,,,,,,,,,,,,,,,False,45.0,,,{'dr2': ['D']},,dr2,1.0,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15454.0,survey-multi-select,55,524480,0.0-9.0-4.0-0.2,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,admc_dr_trial,,,,,,,,,,,,,,,,,,False,46.0,,,{'dr3': ['C']},,dr3,1.0,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7957.0,survey-multi-select,56,532445,0.0-9.0-4.0-0.3,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,admc_dr_trial,,,,,,,,,,,,,,,,,,False,47.0,,,{'dr4': ['None']},,dr4,1.0,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22852.0,survey-multi-select,57,555301,0.0-9.0-4.0-0.4,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,admc_dr_trial,,,,,,,,,,,,,,,,,,False,48.0,,,{'dr5': ['A']},,dr5,1.0,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34440.0,survey-multi-select,58,589747,0.0-9.0-4.0-0.5,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,admc_dr_trial,,,,,,,,,,,,,,,,,,False,49.0,,,{'dr6': ['E']},,dr6,1.0,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27635.0,survey-multi-select,59,617389,0.0-9.0-4.0-0.6,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,admc_dr_trial,,,,,,,,,,,,,,,,,,False,50.0,,,{'dr7': ['E']},,dr7,1.0,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20280.0,survey-multi-select,60,637675,0.0-9.0-4.0-0.7,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,admc_dr_trial,,,,,,,,,,,,,,,,,,False,51.0,,,"{'dr8': ['A', 'C']}",,dr8,2.0,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19731.0,survey-multi-select,61,657413,0.0-9.0-4.0-0.8,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,admc_dr_trial,,,,,,,,,,,,,,,,,,False,52.0,,,"{'dr9': ['A', 'D', 'E']}",,dr9,3.0,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46000.0,survey-multi-select,62,703422,0.0-9.0-4.0-0.9,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,admc_dr_trial,,,,,,,,,,,,,,,,,,True,53.0,,,"{'dr10': ['C', 'D']}",,dr10,2.0,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,63,703425,0.0-9.0-5.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2596.0,html-button-response,64,706023,0.0-9.0-6.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,feedback_ADMC Decision Rules,,,,,,,,,,,,,,,,,,,,"
                    <p class=""instructions-title"">Feedback?</p>
                    <p>If something went wrong during the last task or you think we can improve it, please leave any and all comments you have here.</p>
                    <div style=""margin-bottom: 3vh"">
                        <textarea id=""task_feedback"" style=""width: 50vw; height: 15vh;""></textarea>
                    </div>
                ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,65,706023,0.0-9.0-7.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,66,706025,0.0-9.0-9.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,fq5uwiZ4htqKyMqKy9bPnwA2f9,,,,,,,,,,,,,,async_data_save,,ADMC Decision Rules__completed,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,0,5,0.0-0.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,bvpuicWHlLXoZq83akgYidLLOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,browser-check,1,1015,0.0-1.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,bvpuicWHlLXoZq83akgYidLLOM,,,1440.0,697.0,True,chrome,123.0.0,False,Mac OS,True,60.96,True,True,browser_check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,2,1017,0.0-2.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,bvpuicWHlLXoZq83akgYidLLOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,3,1017,0.0-3.0-0.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,bvpuicWHlLXoZq83akgYidLLOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,html-keyboard-response,4,1019,0.0-5.0-0.0-0.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,bvpuicWHlLXoZq83akgYidLLOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,5,1179,0.0-5.0-1.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,bvpuicWHlLXoZq83akgYidLLOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'page_index': 0, 'viewing_time': 9740}, {'page_index': 1, 'viewing_time': 6747}]",16488.0,instructions,6,17670,0.0-5.0-2.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,bvpuicWHlLXoZq83akgYidLLOM,,,,,,,,,,,,,,time_series_general_instructions,,,,,,,,,,,,,,,,,,False,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,call-function,7,17678,0.0-5.0-3.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,bvpuicWHlLXoZq83akgYidLLOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'page_index': 0, 'viewing_time': 2428}]",2429.0,instructions,8,20108,0.0-5.0-4.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,bvpuicWHlLXoZq83akgYidLLOM,,,,,,,,,,,,,,time_series_pt_trials_instructions,,,,,,,,,,,,,,,,,,False,267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12519.0,html-button-response,9,32631,0.0-5.0-5.0-0.0-0.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,bvpuicWHlLXoZq83akgYidLLOM,,,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,308.0,"<canvas id=""myChart""></canvas>",,0,,,,,"[298.4461988745466, 284.9766552050541, 278.40282356606286, 330.32382280451714, 244.06060396463585, 270.45047778466227, 287.8355613943885, 346.41113574889187, 323.2902113750381, 270.42225687265153, 257.2514897125011, 292.21785408137407, 217.58728584419558, 215.26849858994484, 262.02677178678863, 208.150799896033, 247.2898927616482, 241.38362124405364, 217.6262460611228, 256.5466680992277, 205.2862519537633, 218.44536893529582, 224.74003096666897, 164.2329504324263, 149.01441100169987, 188.43105590454758, 208.56492008333478, 200.5511434678923, 207.35046086530087, 170.88949399069244, '190.68', '153.27', '153.27', '169.45', '116.87', '128.00']",458.6,True,0.0,0.0,linear,negative,high,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12216.0,html-button-response,10,44860,0.0-5.0-5.0-0.0-0.1,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,bvpuicWHlLXoZq83akgYidLLOM,,,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,356.0,"<canvas id=""myChart""></canvas>",,0,,,,,"[293.9484066065101, 287.4565023103862, 293.36336186202544, 283.21452538405197, 286.46788571638126, 286.3622623978285, 266.90196964474, 287.8735553078626, 256.52868936258886, 270.9451837806847, 263.05177081713975, 275.19566997586776, 232.68232688873755, 253.81956607114915, 221.293254896575, 250.78525739275193, 228.75571784302963, 233.689159468353, 221.65386160038625, 216.6329866885618, 222.32156185035836, 196.95872262886235, 203.316263338792, 192.14663971324913, 186.67894698618008, 189.80827911190903, 190.3742155274583, 197.30345019175252, 190.57495035515268, 179.66025531328592, '193.71', '171.47', '170.46', '160.35', '147.20', '166.41']",458.6,True,0.0,1.0,linear,negative,low,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16088.0,html-button-response,11,60958,0.0-5.0-5.0-0.0-0.2,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,bvpuicWHlLXoZq83akgYidLLOM,,,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,403.0,"<canvas id=""myChart""></canvas>",,0,,,,,"[129.6315448266572, 183.5358459712424, 191.66857954715155, 204.0392172229378, 228.3464396472505, 203.6075973879519, 252.5967753288284, 209.64519151531283, 244.66261282966374, 300.81334495395674, '276.62', '268.53', '323.12', '289.76', '304.92', '310.99']",458.6,True,0.0,2.0,linear,positive,high,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13415.0,html-button-response,12,74380,0.0-5.0-5.0-0.0-0.3,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,bvpuicWHlLXoZq83akgYidLLOM,,,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,462.0,"<canvas id=""myChart""></canvas>",,0,,,,,"[294.0996096640879, 291.09003757972187, 267.4826998191189, 260.6336096035856, 266.5095240434724, 250.74436264447328, 231.18474233063642, 239.59552977993593, 213.5820568258954, 206.860370904708, '199.78', '207.87', '181.58', '182.59', '176.52', '167.43']",458.6,True,0.0,3.0,linear,negative,low,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[{'page_index': 0, 'viewing_time': 10247}]",10247.0,instructions,13,84636,0.0-5.0-6.0,076BrNISK0IP8PsESVQX,33ff78,5,w21EvJIk4xb9ybonSwJRhD4pvm,bvpuicWHlLXoZq83akgYidLLOM,,,,,,,,,,,,,,time_series_test_trials_instructions,,,,,,,,,,,,,,,,,,False,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
