trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_time_series,task_impossible_question,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_rc2,task_number_series,task_leapfrog,task_admc_dr,task_bayesian_update_easy,task_bayesian_update_hard,task_raven_matrix,task_cognitive_reflection,task_admc_a1,custom_timer_ended_trial,interval_id,stimulus,response,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,response_choice,response_slider,slider_moved,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,slider_start,admc_id,admc_response,ns_id,ns_response,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,question_order,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,list_id,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7
html-keyboard-response,2,2,0.0-2.0,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,8LniIcuX3UL8LMAT3M83AJTaur,,,,,,,,,,,,,,,,async_data_save,,experiment__save_session_params,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,7,16252,0.0-7.0-0.0-0.0,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,8,16404,0.0-7.0-1.0,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,9,89724,0.0-7.0-2.0,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,"[{'page_index': 0, 'viewing_time': 2768}, {'page_index': 1, 'viewing_time': 70552}]",73320.0,,,,,,,,,,,,time_series_general_instructions,,,,,,,,,,,,,,,,,,False,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,10,89729,0.0-7.0-3.0,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,11,91373,0.0-7.0-4.0,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,"[{'page_index': 0, 'viewing_time': 1644}]",1645.0,,,,,,,,,,,,time_series_pt_trials_instructions,,,,,,,,,,,,,,,,,,False,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,12,107474,0.0-7.0-5.0-0.0-0.0,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,16099.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,9.0,"<canvas id=""myChart""></canvas>",0,"[481.86401377384857, 494.01248469361053, 484.33327486040645, 501.7737365645263, 486.63556316594793, 488.7214890468648, 486.872986947041, 489.76849553515484, 466.6587417016681, 451.7741041427617, '433.20', '419.08', '427.15', '428.16', '420.09', '415.05']",601.6,True,0.0,0.0,exponential,negative,low,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,13,128480,0.0-7.0-5.0-0.0-0.1,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,True,10.0,"<canvas id=""myChart""></canvas>",,"[169.72990360514996, 214.01137571617684, 277.6985077435524, 230.34394040215773, 287.6330560947249, 235.8239189082471, 270.47196859855256, 234.95991963732715, 349.3705973516942, 270.70175352244183, 292.3620684702582, 275.4560744994574, 262.1491284612423, 295.1847471313026, 248.72234338295522, 241.94191662627358, 308.9332292469161, 326.3707057541176, 303.150704242419, 420.9161289230247, 320.68329420166594, 414.4444629445679, 398.7029968859258, 312.64884219001345, 316.5955644742034, 387.85200643283906, 308.6500696045163, 332.94772835986475, 391.49180470040625, 311.45385387467627, '371.69', '369.67', '332.36', '391.86', '337.40', '370.68']",601.6,True,0.0,1.0,linear,positive,high,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,14,144591,0.0-7.0-5.0-0.0-0.2,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,16105.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,11.0,"<canvas id=""myChart""></canvas>",0,"[334.0050301564118, 345.6083925626978, 395.13865651788717, 387.13285141973614, 384.60608578200055, 329.59210754597575, 339.45555896136375, 332.86305811820864, 345.7089612842876, 332.53360231725964, 371.44110464710207, 349.20119483424327, 384.4251602349087, 336.8293899066293, 365.8554714555693, 273.6348120437741, 324.17479692037324, 364.66321912282405, 391.51572393802115, 277.1127319544499, 328.49287713100426, 262.24734070270074, 216.52400201169098, 228.94811345577335, 311.79997761004796, 253.24733489372096, 208.9261068081363, 265.9301188512594, 269.5712540675036, 213.160143424308, '243.62', '224.47', '250.68', '219.42', '245.64', '218.42']",601.6,True,0.0,2.0,linear,negative,high,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,15,156327,0.0-7.0-5.0-0.0-0.3,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,11730.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,12.0,"<canvas id=""myChart""></canvas>",0,"[408.23125614096546, 380.619626129285, 387.9020230984937, 364.7359819159664, 388.1227487531818, 376.72944693764384, 366.0813454348251, 346.5140338021319, 341.2072904441968, 347.36773282847906, 336.82770958594483, 314.9213391431368, 321.7509099085114, 306.3692728511613, 329.78243307373106, 304.90276393671604, 309.9415220507346, 315.6810066315694, 308.28517803945863, 291.2545480162248, 283.3608178027277, 282.3050717019743, 285.627017322592, 255.48669731606043, 257.4033302781256, 254.38149007246705, 253.96148168416627, 229.29218026933927, 230.7971563253619, 233.26227296648625, '232.53', '232.53', '206.31', '220.43', '238.58', '222.45']",601.6,True,0.0,3.0,linear,negative,low,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,16,158222,0.0-7.0-6.0,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,"[{'page_index': 0, 'viewing_time': 1889}]",1889.0,,,,,,,,,,,,time_series_test_trials_instructions,,,,,,,,,,,,,,,,,,False,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,17,170674,0.0-7.0-7.0-0.0-0.0,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,12451.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,14.0,"<canvas id=""myChart""></canvas>",0,"[182.82027929403264, 199.90307082257533, 156.1366876186035, 273.98529327190084, 314.71306692629736, 270.30039464658546, 284.3904641232674, 296.14069444995096, 346.8727057649721, 329.41977951634567, '313.20', '316.23', '285.98', '284.97', '250.68', '236.57']",601.6,False,0.0,0.0,linear,positive,high,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,18,186924,0.0-7.0-7.0-0.0-0.1,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,16248.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,15.0,"<canvas id=""myChart""></canvas>",0,"[81.90653885266562, 136.30021621848857, 109.81898335623461, 187.44155517202506, 177.87904137543114, 116.80943831579029, 33.74775589411934, 107.6114143312183, 124.88454195449783, 0, 107.95382646434912, 56.25328528391253, 119.57706458145394, 154.46484172189264, 135.91334243494796, 217.84511873870287, 149.27435667607867, 130.14027551631398, 93.54074994452336, 186.32643047117185, 166.83800264483207, 161.92612228194014, 212.7209522479847, 117.97759318947276, 157.61452399888753, 125.51316789729844, 182.93780764325984, 199.9715271589172, 169.9407810387541, 218.31688912505345, '232.53', '210.35', '229.51', '241.61', '233.54', '262.78']",601.6,False,0.0,1.0,exponential,positive,high,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,19,199775,0.0-7.0-7.0-0.0-0.2,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,12847.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,16.0,"<canvas id=""myChart""></canvas>",0,"[184.8950463689892, 230.05440461334854, 226.626858925432, 230.29824056336432, 273.1603373777009, 279.31549527908663, 293.9992513897146, 293.7712418827091, 323.44567457315964, 335.591792065012, '351.52', '384.80', '394.88', '406.98', '414.04', '419.08']",601.6,False,0.0,2.0,linear,positive,low,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,20,211222,0.0-7.0-7.0-0.0-0.3,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,11446.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,17.0,"<canvas id=""myChart""></canvas>",0,"[405.9139273226374, 396.6005662633681, 396.428650378385, 358.0185503115941, 360.39074040936316, 371.84656690252336, 353.472629160434, 353.51992162766044, 366.8235870335628, 356.0236916899969, 341.6720393870386, 350.3146838773434, 331.3228440784784, 316.0329050397614, 321.8381128385004, 303.79076794515794, 327.0534483338565, 288.1917773658228, 297.26514533089073, 289.24034722109883, 281.9640883813961, 284.20946107260244, 273.0070738726936, 267.85211961139345, 254.6527899986665, 237.37185361664092, 265.3045653777147, 267.4381767768489, 239.86235324249708, 223.3556946986261, '226.48', '200.26', '197.24', '187.16', '183.12', '161.95']",601.6,False,0.0,3.0,linear,negative,low,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,21,232226,0.0-7.0-7.0-0.0-0.4,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,True,18.0,"<canvas id=""myChart""></canvas>",,"[502.9657798061904, 485.7900555330145, 491.3038860050837, 486.68641552697926, 490.5163247325708, 470.2093847360362, 491.7183936170108, 495.2346094545965, 473.43301821683093, 484.43302059721964, 501.0519870469655, 482.1305779446085, 472.65689168700385, 478.7890821981727, 478.09336675452766, 468.59777014110836, 480.55839548261685, 481.64012069132497, 481.40178586328585, 467.779422589982, 479.58252706522813, 464.9311232613676, 443.6428561082421, 437.24049744444653, 436.37389664951013, 427.99959993732705, 394.28518957309296, 383.5725807289074, 369.38114615139983, 372.85808872516566, '365.64', '346.48', '368.66', '365.64', '351.52']",601.6,False,0.0,4.0,exponential,negative,low,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,22,246439,0.0-7.0-7.0-0.0-0.5,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,14209.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,19.0,"<canvas id=""myChart""></canvas>",0,"[448.7195528569337, 461.5526950521121, 479.6492927469293, 538.5424086558804, 541.5156675533764, 499.75076759388594, 535.2118834610503, 495.80939568233055, 560.212858540626, 446.7796059733472, 468.8409905132303, 474.8511119481353, 450.72060527052525, 454.6035133087656, 422.8119256908422, 524.9782678813324, 491.17994094365395, 516.3900537561495, 498.3826442327326, 542.3391578275006, 548.6604408270829, 455.7633081130593, 434.71260325726035, 405.3488055029459, 379.0060728744248, 477.3689720039567, 387.95680162442324, 349.8603658871114, 383.1819444681041, 333.1720955401588, '322.28', '316.23', '354.55', '351.52', '383.79', '391.86']",601.6,False,0.0,5.0,exponential,negative,high,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,23,261738,0.0-7.0-7.0-0.0-0.6,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,15294.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,20.0,"<canvas id=""myChart""></canvas>",0,"[226.72999563109812, 214.13711559525316, 216.24605274834548, 210.02428083458489, 235.3123250728774, 238.16882952861275, 235.14049492972356, 237.3639742089014, 267.20756630999693, 241.09950613357043, 278.4364843586069, 288.79396570764953, 267.8679232696783, 279.0715447506363, 277.2239165035033, 267.35509378726215, 306.5663304255411, 311.6124262537058, 310.58938280174056, 319.28354269959453, 328.72275678653034, 337.2736326212744, 356.7121696147021, 334.2739912883323, 331.39678988528107, 343.69142019194686, 344.3003848176119, 347.74106893649264, 367.1548434905759, 360.60967849649404, '390.85', '395.89', '406.98', '434.21', '444.29', '446.31']",601.6,False,0.0,6.0,linear,positive,low,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,24,275372,0.0-7.0-7.0-0.0-0.7,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,13632.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,21.0,"<canvas id=""myChart""></canvas>",0,"[96.43425024844544, 112.25013027063473, 105.75347024931789, 113.73880203873873, 120.79860894497823, 121.8956216747673, 124.9902096609717, 133.16001776791097, 122.12200727215527, 138.74190643075653, '145.81', '168.00', '156.90', '145.81', '163.96', '173.04']",601.6,False,0.0,7.0,exponential,positive,low,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,25,286304,0.0-7.0-7.0-0.0-0.8,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,10930.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,22.0,"<canvas id=""myChart""></canvas>",0,"[397.2461717812004, 383.14918757259846, 367.9914403327765, 357.69066524336625, 328.5161031907482, 313.4932846181003, 315.26733978893833, 296.15140152075037, 279.3131964889286, 301.75816359310295, '295.05', '296.06', '293.04', '276.90', '271.86', '290.01']",601.6,False,0.0,8.0,linear,negative,low,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,26,297487,0.0-7.0-7.0-0.0-0.9,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,11182.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,23.0,"<canvas id=""myChart""></canvas>",0,"[511.6047495716301, 504.14613595581113, 536.8849178912584, 498.34768633536555, 523.2320336115832, 517.3377084733876, 490.03622334176254, 483.8003298547726, 461.69552648384183, 414.8591526161041, '346.48', '339.42', '310.18', '281.94', '271.86', '244.63']",601.6,False,0.0,9.0,exponential,negative,high,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,27,312688,0.0-7.0-7.0-0.0-0.10,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,15200.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,24.0,"<canvas id=""myChart""></canvas>",0,"[89.50866496079445, 114.20349047829706, 83.61850521553296, 86.09554279048413, 97.54770494213905, 88.01014368604321, 97.24708934689417, 113.473233327741, 104.71452125396225, 112.58876616287786, 103.49927961930712, 85.70420153099964, 101.6714235999896, 98.74542352534016, 102.4755659384903, 120.54486815206647, 100.80726855025965, 112.68365053714449, 113.2840977596219, 117.81946534911968, 133.48720228849237, 140.33579938732885, 152.2113746062865, 154.60454798265667, 169.7827500930297, 156.6272872833051, 178.26739616481785, 192.47260994330384, 229.67723083177077, 266.1350322572233, '317.24', '337.40', '387.82', '398.92', '418.07', '443.28']",601.6,False,0.0,10.0,exponential,positive,low,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,28,330272,0.0-7.0-7.0-0.0-0.11,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,17581.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,25.0,"<canvas id=""myChart""></canvas>",0,"[499.363694538212, 477.3017700656682, 514.601842848806, 480.65386107178244, 494.4439529916671, 497.7750965461962, 511.1162149304161, 471.95969384221223, 480.8595767650493, 433.8591148720902, '391.86', '344.46', '330.35', '331.35', '325.30', '297.07']",601.6,False,0.0,11.0,exponential,negative,low,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,29,340572,0.0-7.0-7.0-0.0-0.12,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,10298.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,26.0,"<canvas id=""myChart""></canvas>",0,"[96.92641109006016, 170.0710777715382, 84.23451057559453, 83.48738263454385, 62.347448562726925, 42.933411874870885, 114.14083740225037, 152.43248632237263, 144.8985876316657, 161.96403272547408, '196.23', '243.62', '284.97', '290.01', '342.45', '372.70']",601.6,False,0.0,12.0,exponential,positive,high,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,30,351137,0.0-7.0-7.0-0.0-0.13,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,10564.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,27.0,"<canvas id=""myChart""></canvas>",0,"[280.3611319280724, 369.4193159460486, 366.1254374202479, 368.3352806867558, 348.9156288807595, 349.8468224571512, 332.72163264033924, 313.37241163925444, 266.2388715873331, 305.38276596170397, '333.37', '378.75', '402.95', '426.14', '448.33', '430.18']",601.6,False,0.0,13.0,linear,negative,high,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,31,364454,0.0-7.0-7.0-0.0-0.14,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,13316.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,28.0,"<canvas id=""myChart""></canvas>",0,"[165.81134148727992, 96.84512489009273, 159.9227580042982, 229.35871168712754, 248.5137116235885, 231.14298791239227, 215.95931678072364, 183.48487113363052, 235.11476538117833, 272.3879740354116, 311.2124396711381, 311.5272049595184, 316.9510396107739, 299.70353221400717, 269.445965201458, 235.7267463219115, 235.41565513195098, 276.61860178249765, 306.41800689705923, 262.7520304383408, 321.4972882356032, 261.16075234757534, 321.56438530430506, 365.79730370060315, 375.9740083162794, 333.7496231553009, 378.93629397958847, 394.3467428778264, 293.76193643466644, 340.8489960211517, '363.62', '390.85', '383.79', '364.63', '351.52', '402.95']",601.6,False,0.0,14.0,linear,positive,high,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,32,375921,0.0-7.0-7.0-0.0-0.15,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,11463.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,False,29.0,"<canvas id=""myChart""></canvas>",0,"[491.72618653555537, 382.5889026529605, 382.89042768894495, 428.91182724563015, 324.88124282530543, 376.4188357559602, 263.9033964607993, 395.78688061323106, 375.77401047270183, 327.8603359113871, 340.2066960253522, 277.037833391184, 377.39273463924644, 278.60757558025233, 311.0292475575371, 381.01646285930764, 345.8297805724002, 281.1249877297467, 264.53365508793934, 254.29006126359786, 308.8897061225473, 271.9777419003666, 273.56034733107674, 294.89875103139576, 251.70972407903412, 307.2537914247871, 278.8018487020155, 289.3689165058283, 181.48415869996327, 233.96615157664814, '259.76', '240.60', '244.63', '277.91', '269.84', '244.63']",601.6,False,0.0,15.0,linear,negative,high,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,33,375925,0.0-7.0-8.0,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,34,378155,0.0-7.0-9.0,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,2229.0,,,,,,,,,,,,feedback_Time series,,,,,,,,,,,,,,,,,,,,"
                    <p class=""instructions-title"">Feedback?</p>
                    <p>If something went wrong during the last task or you think we can improve it, please leave any and all comments you have here.</p>
                    <div style=""margin-bottom: 3vh"">
                        <textarea id=""task_feedback"" style=""width: 50vw; height: 15vh;""></textarea>
                    </div>
                ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,35,378155,0.0-7.0-10.0,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,36,378157,0.0-7.0-12.0,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,,,,,,,,,,,,,async_data_save,,Time series__completed,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,37,378310,0.0-9.0-1.0,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,38,390737,0.0-9.0-2.0,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,"[{'page_index': 0, 'viewing_time': 12426}]",12427.0,,,,,,,,,,,,iqc_general_instructions,,,,,,,,,,,,,,,,,,False,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,39,390738,0.0-9.0-3.0,AhirSY1w8dBzmuo2t48W,33ff78,5,MOvg58yLa03NKUr9vTqF7jjDMY,QQtMvWOi8s9p4a4Tvh9r0mmfdL,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
